time,age,gender,year
02:06:24,20-24,Men,2010
02:06:43,20-24,Men,2010
02:08:10,20-24,Men,2010
02:08:44,25-29,Men,2010
02:09:08,20-24,Men,2010
02:09:28,20-24,Men,2010
02:10:48,25-29,Men,2010
02:11:06,25-29,Men,2010
02:13:01,25-29,Men,2010
02:14:27,25-29,Men,2010
02:14:55,30-34,Men,2010
02:15:49,25-29,Men,2010
02:16:12,25-29,Men,2010
02:17:43,25-29,Men,2010
02:18:12,25-29,Men,2010
02:19:01,20-24,Men,2010
02:19:18,20-24,Men,2010
02:19:31,30-34,Men,2010
02:19:53,25-29,Men,2010
02:20:34,30-34,Men,2010
02:20:46,25-29,Men,2010
02:20:58,30-34,Men,2010
02:21:01,20-24,Men,2010
02:21:17,25-29,Men,2010
02:21:18,20-24,Men,2010
02:21:18,35-39,Men,2010
02:21:23,25-29,Men,2010
02:21:38,30-34,Men,2010
02:21:46,25-29,Men,2010
02:22:09,20-24,Men,2010
02:22:19,25-29,Men,2010
02:22:49,35-39,Men,2010
02:23:15,20-24,Men,2010
02:23:34,20-24,Men,2010
02:23:36,25-29,Men,2010
02:23:52,25-29,Men,2010
02:23:59,25-29,Men,2010
02:24:24,20-24,Men,2010
02:24:40,35-39,Men,2010
02:25:43,20-24,Men,2010
02:25:44,20-24,Men,2010
02:26:16,25-29,Men,2010
02:26:21,25-29,Men,2010
02:26:38,20-24,Men,2010
02:26:52,25-29,Men,2010
02:27:05,25-29,Men,2010
02:27:19,25-29,Men,2010
02:27:21,30-34,Men,2010
02:27:28,25-29,Men,2010
02:27:33,35-39,Men,2010
02:27:34,30-34,Men,2010
02:27:35,25-29,Men,2010
02:27:36,30-34,Men,2010
02:28:08,25-29,Men,2010
02:28:17,30-34,Men,2010
02:28:18,20-24,Men,2010
02:28:24,30-34,Men,2010
02:28:30,30-34,Men,2010
02:28:32,30-34,Men,2010
02:28:44,35-39,Men,2010
02:29:05,20-24,Men,2010
02:29:23,20-24,Men,2010
02:29:33,20-24,Men,2010
02:29:39,45-49,Men,2010
02:29:40,35-39,Men,2010
02:29:48,40-44,Men,2010
02:30:03,25-29,Men,2010
02:30:19,20-24,Men,2010
02:30:30,25-29,Men,2010
02:30:33,30-34,Men,2010
02:30:43,25-29,Men,2010
02:30:44,35-39,Men,2010
02:31:22,25-29,Men,2010
02:31:26,30-34,Men,2010
02:31:29,20-24,Men,2010
02:31:30,25-29,Men,2010
02:31:33,20-24,Men,2010
02:31:35,40-44,Men,2010
02:31:41,25-29,Men,2010
02:31:43,20-24,Men,2010
02:31:44,25-29,Men,2010
02:31:47,35-39,Men,2010
02:31:54,30-34,Men,2010
02:31:57,25-29,Men,2010
02:32:08,25-29,Men,2010
02:32:13,25-29,Men,2010
02:32:15,30-34,Men,2010
02:32:56,25-29,Men,2010
02:32:56,25-29,Men,2010
02:33:12,25-29,Men,2010
02:33:14,25-29,Men,2010
02:33:44,20-24,Men,2010
02:33:52,30-34,Men,2010
02:34:06,20-24,Men,2010
02:34:20,25-29,Men,2010
02:34:29,40-44,Men,2010
02:34:43,20-24,Men,2010
02:34:44,35-39,Men,2010
02:34:46,25-29,Men,2010
02:34:54,30-34,Men,2010
02:35:00,30-34,Men,2010
02:35:08,25-29,Men,2010
02:35:11,20-24,Men,2010
02:35:13,30-34,Men,2010
02:35:34,25-29,Men,2010
02:35:36,30-34,Men,2010
02:35:42,20-24,Men,2010
02:35:46,25-29,Men,2010
02:35:55,20-24,Men,2010
02:35:57,30-34,Men,2010
02:35:59,30-34,Men,2010
02:36:07,25-29,Men,2010
02:36:09,20-24,Men,2010
02:36:20,25-29,Men,2010
02:36:33,25-29,Men,2010
02:36:36,30-34,Men,2010
02:36:40,35-39,Men,2010
02:36:41,20-24,Men,2010
02:36:47,25-29,Men,2010
02:36:49,25-29,Men,2010
02:37:07,25-29,Men,2010
02:37:24,20-24,Men,2010
02:37:27,20-24,Men,2010
02:37:31,40-44,Men,2010
02:37:36,25-29,Men,2010
02:37:59,25-29,Men,2010
02:38:02,30-34,Men,2010
02:38:09,40-44,Men,2010
02:38:12,25-29,Men,2010
02:38:20,25-29,Men,2010
02:38:32,25-29,Men,2010
02:38:39,40-44,Men,2010
02:38:44,25-29,Men,2010
02:38:45,25-29,Men,2010
02:38:53,25-29,Men,2010
02:38:57,25-29,Men,2010
02:39:02,25-29,Men,2010
02:39:02,35-39,Men,2010
02:39:05,35-39,Men,2010
02:39:05,25-29,Men,2010
02:39:08,20-24,Men,2010
02:39:09,30-34,Men,2010
02:39:11,35-39,Men,2010
02:39:12,30-34,Men,2010
02:39:16,30-34,Men,2010
02:39:16,20-24,Men,2010
02:39:31,30-34,Men,2010
02:39:34,20-24,Men,2010
02:39:34,25-29,Men,2010
02:39:39,20-24,Men,2010
02:39:42,20-24,Men,2010
02:39:46,25-29,Men,2010
02:39:51,25-29,Men,2010
02:39:54,20-24,Men,2010
02:39:57,30-34,Men,2010
02:39:59,20-24,Men,2010
02:40:14,35-39,Men,2010
02:40:15,25-29,Men,2010
02:40:38,20-24,Men,2010
02:40:44,30-34,Men,2010
02:41:03,25-29,Men,2010
02:41:06,25-29,Men,2010
02:41:14,20-24,Men,2010
02:41:21,20-24,Men,2010
02:41:23,20-24,Men,2010
02:41:23,30-34,Men,2010
02:41:25,25-29,Men,2010
02:41:34,25-29,Men,2010
02:41:40,30-34,Men,2010
02:41:42,25-29,Men,2010
02:41:43,25-29,Men,2010
02:41:49,25-29,Men,2010
02:41:56,25-29,Men,2010
02:42:02,35-39,Men,2010
02:42:04,35-39,Men,2010
02:42:06,35-39,Men,2010
02:42:12,20-24,Men,2010
02:42:13,25-29,Men,2010
02:42:14,25-29,Men,2010
02:42:17,30-34,Men,2010
02:42:25,25-29,Men,2010
02:42:39,40-44,Men,2010
02:42:44,30-34,Men,2010
02:42:47,40-44,Men,2010
02:42:51,30-34,Men,2010
