time,age,gender,year
02:23:33,25-29,Women,2015
02:23:43,25-29,Women,2015
02:24:24,20-24,Women,2015
02:24:25,30-34,Women,2015
02:24:40,30-34,Women,2015
02:25:11,30-34,Women,2015
02:27:47,40-44,Women,2015
02:29:13,30-34,Women,2015
02:30:07,35-39,Women,2015
02:31:14,30-34,Women,2015
02:31:31,35-39,Women,2015
02:32:51,25-29,Women,2015
02:33:15,30-34,Women,2015
02:34:29,20-24,Women,2015
02:38:21,25-29,Women,2015
02:39:32,30-34,Women,2015
02:41:26,25-29,Women,2015
02:42:09,25-29,Women,2015
02:42:27,35-39,Women,2015
02:44:28,20-24,Women,2015
02:44:33,40-44,Women,2015
02:44:52,25-29,Women,2015
02:45:01,25-29,Women,2015
02:45:50,25-29,Women,2015
02:45:54,25-29,Women,2015
02:46:01,25-29,Women,2015
02:46:25,25-29,Women,2015
02:46:39,40-44,Women,2015
02:46:41,30-34,Women,2015
02:46:47,40-44,Women,2015
02:46:52,35-39,Women,2015
02:47:05,25-29,Women,2015
02:47:06,25-29,Women,2015
02:47:22,35-39,Women,2015
02:47:28,20-24,Women,2015
02:47:29,25-29,Women,2015
02:47:31,25-29,Women,2015
02:47:41,25-29,Women,2015
02:47:51,30-34,Women,2015
02:48:12,20-24,Women,2015
02:48:12,35-39,Women,2015
02:48:33,35-39,Women,2015
02:48:51,25-29,Women,2015
02:49:13,25-29,Women,2015
02:49:19,25-29,Women,2015
02:49:37,30-34,Women,2015
02:49:43,35-39,Women,2015
02:49:57,35-39,Women,2015
02:50:07,25-29,Women,2015
02:50:11,25-29,Women,2015
02:50:37,30-34,Women,2015
02:50:53,30-34,Women,2015
02:51:13,25-29,Women,2015
02:51:14,35-39,Women,2015
02:51:38,25-29,Women,2015
02:51:56,30-34,Women,2015
02:52:08,25-29,Women,2015
02:52:27,25-29,Women,2015
02:52:43,30-34,Women,2015
02:52:52,35-39,Women,2015
02:53:00,25-29,Women,2015
02:53:17,30-34,Women,2015
02:53:31,30-34,Women,2015
02:53:32,40-44,Women,2015
02:53:33,25-29,Women,2015
02:54:02,30-34,Women,2015
02:54:02,30-34,Women,2015
02:54:06,30-34,Women,2015
02:54:10,35-39,Women,2015
02:54:24,35-39,Women,2015
02:54:49,30-34,Women,2015
02:55:08,25-29,Women,2015
02:55:11,35-39,Women,2015
02:55:22,30-34,Women,2015
02:55:27,35-39,Women,2015
02:55:31,35-39,Women,2015
02:55:36,20-24,Women,2015
02:55:47,35-39,Women,2015
02:55:49,30-34,Women,2015
02:55:56,40-44,Women,2015
02:56:02,30-34,Women,2015
02:56:11,25-29,Women,2015
02:56:15,25-29,Women,2015
02:56:23,25-29,Women,2015
02:56:29,25-29,Women,2015
02:56:41,35-39,Women,2015
02:56:51,40-44,Women,2015
02:56:57,40-44,Women,2015
02:57:00,30-34,Women,2015
02:57:17,35-39,Women,2015
02:57:31,35-39,Women,2015
02:57:40,25-29,Women,2015
02:58:01,20-24,Women,2015
02:58:07,35-39,Women,2015
02:58:17,35-39,Women,2015
02:58:18,35-39,Women,2015
02:58:18,25-29,Women,2015
02:58:23,25-29,Women,2015
02:58:25,35-39,Women,2015
02:58:29,30-34,Women,2015
02:58:41,25-29,Women,2015
02:58:43,30-34,Women,2015
02:58:46,25-29,Women,2015
02:58:49,40-44,Women,2015
02:58:53,25-29,Women,2015
02:59:05,25-29,Women,2015
02:59:26,35-39,Women,2015
02:59:28,40-44,Women,2015
02:59:30,25-29,Women,2015
02:59:32,25-29,Women,2015
02:59:38,30-34,Women,2015
02:59:38,35-39,Women,2015
02:59:39,35-39,Women,2015
02:59:39,25-29,Women,2015
02:59:55,40-44,Women,2015
02:59:55,25-29,Women,2015
03:00:02,20-24,Women,2015
03:00:07,35-39,Women,2015
03:00:19,30-34,Women,2015
03:00:29,35-39,Women,2015
03:00:32,20-24,Women,2015
03:00:51,25-29,Women,2015
03:00:53,30-34,Women,2015
03:01:15,35-39,Women,2015
03:01:25,30-34,Women,2015
03:01:45,25-29,Women,2015
03:01:53,35-39,Women,2015
03:02:18,35-39,Women,2015
03:02:55,30-34,Women,2015
03:03:03,30-34,Women,2015
03:03:08,50-54,Women,2015
03:03:09,30-34,Women,2015
03:03:13,25-29,Women,2015
03:03:14,30-34,Women,2015
03:03:20,40-44,Women,2015
03:03:20,40-44,Women,2015
03:03:26,25-29,Women,2015
03:03:45,25-29,Women,2015
03:03:49,20-24,Women,2015
03:04:00,25-29,Women,2015
03:04:06,30-34,Women,2015
03:04:08,30-34,Women,2015
03:04:12,35-39,Women,2015
03:04:35,35-39,Women,2015
03:04:39,30-34,Women,2015
03:04:47,20-24,Women,2015
03:04:53,25-29,Women,2015
03:04:57,25-29,Women,2015
03:05:02,25-29,Women,2015
03:05:10,35-39,Women,2015
03:05:10,25-29,Women,2015
03:05:12,45-49,Women,2015
03:05:16,50-54,Women,2015
03:05:16,20-24,Women,2015
03:05:19,25-29,Women,2015
03:05:25,35-39,Women,2015
03:05:27,30-34,Women,2015
03:05:38,25-29,Women,2015
03:05:40,30-34,Women,2015
03:05:49,30-34,Women,2015
03:05:50,20-24,Women,2015
03:05:53,25-29,Women,2015
03:05:56,20-24,Women,2015
03:06:07,30-34,Women,2015
