"Last Name, First Name(Sex/Age)",Time,OverAllPlace,Sex Place/Div Place,DIV,"State, Country",AG Time*,BQ*
GHIRMAY GHEBRESLASSIE (M20),2:07:51,1,1 / 1,M20-24,"As, ERI",2:06:15,BQ
LUCAS ROTICH (M26),2:08:53,2,2 / 1,M25-29,KEN,2:08:53,BQ
ABDI ABDIRAHMAN (M39),2:11:23,3,3 / 1,M35-39,"AZ, USA",2:09:16,BQ
HIROYUKI YAMAMOTO (M30),2:11:49,4,4 / 1,M30-34,"To, JPN",2:11:49,BQ
SHADRACK BIWOTT (M31),2:12:01,5,5 / 2,M30-34,"CA, USA",2:12:01,BQ
TADESSE YAE DABI (M27),2:13:06,6,6 / 2,M25-29,"NY, ETH",2:13:06,BQ
MOSES KIPSIRO (M30),2:14:18,7,7 / 3,M30-34,UGA,2:14:18,BQ
TYLER PENNEL (M28),2:15:09,8,8 / 3,M25-29,"NC, USA",2:15:09,BQ
BEN PAYNE (M35),2:15:46,9,9 / 2,M35-39,"CO, USA",2:15:46,BQ
PATRICK SMYTH (M30),2:16:34,10,10 / 4,M30-34,"NM, USA",2:16:34,BQ
CRAIG LEON (M31),2:17:14,11,11 / 5,M30-34,"OR, USA",2:17:14,BQ
MUSA BABO IDO (M27),2:17:57,12,12 / 4,M25-29,"DC, ETH",2:17:57,BQ
CHRISTO LANDRY (M30),2:19:14,13,13 / 6,M30-34,"NC, USA",2:19:14,BQ
BRENDAN MARTIN (M27),2:19:34,14,14 / 5,M25-29,"NY, USA",2:19:34,BQ
SENBETO GENETI GUTETA (M23),2:20:01,15,15 / 2,M20-24,"NY, ETH",2:20:01,BQ
MARIANO MASTROMARINO (M34),2:20:08,16,16 / 7,M30-34,ARG,2:20:08,BQ
MATTHEW LLANO (M28),2:20:15,17,17 / 6,M25-29,"AZ, USA",2:20:15,BQ
WERKUNEH SEYOUM ABOYE (M32),2:20:54,18,18 / 8,M30-34,"NY, ETH",2:20:54,BQ
TIM RITCHIE (M29),2:21:09,19,19 / 7,M25-29,"CT, USA",2:21:09,BQ
HARBERT OKUTI (M31),2:21:27,20,20 / 9,M30-34,"NY, UGA",2:21:27,BQ
JESPER FAURSCHOU (M33),2:22:00,21,21 / 10,M30-34,"-, DEN",2:22:00,BQ
GIOVANNI GUALDI (M36),2:22:10,22,22 / 3,M35-39,"Be, ITA",2:22:01,BQ
