groups,times
M35,2:22:54
M23,2:33:21
M20,2:33:52
M22,2:37:13
M27,2:37:42
M33,2:38:53
M27,2:40:11
M31,2:40:33
M35,2:40:36
M33,2:40:52
M25,2:41:09
M18,2:41:15
M24,2:42:19
M21,2:43:48
M26,2:43:51
M23,2:44:00
M26,2:44:04
M31,2:45:18
M35,2:45:28
M30,2:45:44
M21,2:45:55
M51,2:47:09
M24,2:47:19
M30,2:47:30
M35,2:48:03
M18,2:49:00
M36,2:50:53
M20,2:52:05
M37,2:53:30
M38,2:54:10
M21,2:54:37
M30,2:55:19
F19,2:55:22
F32,2:56:04
M47,2:56:05
M33,2:56:45
M18,2:57:03
M20,2:57:37
M25,2:57:50
M41,2:59:16
M41,2:59:26
M25,2:59:59
M28,3:01:40
M38,3:01:40
M22,3:03:14
M41,3:03:19
M42,3:03:21
M25,3:03:42
M30,3:06:19
M31,3:07:05
M48,3:07:29
M24,3:07:52
M38,3:08:02
M27,3:08:10
M35,3:08:27
F35,3:08:46
M28,3:09:02
M44,3:09:23
M27,3:09:42
M27,3:09:47
M41,3:10:18
M29,3:11:52
M33,3:12:23
M44,3:14:28
M36,3:14:47
M31,3:15:08
M41,3:15:52
M27,3:16:46
M45,3:17:20
M19,3:17:43
M19,3:17:50
M32,3:18:15
M35,3:19:22
M49,3:20:15
M21,3:20:35
M35,3:21:55
M31,3:22:29
M38,3:22:47
M21,3:23:03
M27,3:23:15
M57,3:24:16
M26,3:26:13
M27,3:26:55
M33,3:28:43
M26,3:28:45
M44,3:28:52
M27,3:29:58
M42,3:29:59
M57,3:31:09
M28,3:31:23
M26,3:31:30
M35,3:31:49
M16,3:31:50
M30,3:31:59
M37,3:32:03
M20,3:32:30
M42,3:32:36
M41,3:34:50
M38,3:35:10
M34,3:36:48
M36,3:37:08
M47,3:37:16
M34,3:37:28
M31,3:37:38
M39,3:41:02
M35,3:42:51
M35,3:43:54
M32,3:44:03
M47,3:44:30
M27,3:44:55
M25,3:45:00
M22,3:46:43
M45,3:46:54
M39,3:47:40
M35,3:47:42
M40,3:48:48
M19,3:50:30
M19,3:50:41
M31,3:51:05
M36,3:51:20
M30,3:52:36
M33,3:52:43
M16,3:52:55
M49,3:54:01
M16,3:57:32
M39,3:57:53
M33,3:58:28
M20,3:59:03
M42,4:00:35
M16,4:02:20
M17,4:03:28
M19,4:06:12
M46,4:07:06
M46,4:07:09
M29,4:08:13
M25,4:14:32
M35,4:14:58
M63,4:16:34
M36,4:17:12
M33,4:17:26
M36,4:17:41
M43,4:17:49
M52,4:18:07
M57,4:22:18
M15,4:24:23
M26,4:26:21
M44,4:27:15
M22,4:29:16
M58,4:29:58
M35,4:32:45
M39,4:33:30
M36,4:33:50
M22,4:42:58
M33,4:44:19
F35,4:45:37
M58,4:56:24
