Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Berlin,Germany",09/26/2021,58.2,75.1,69.3,58.0,68.95,,9.6,,126.5,,0.0,0.0,,19.4,1.7,1017.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/29/2019,55.4,58.8,57.6,53.8,87.24,,11.0,,197.9,,0.17,80.0,,16.8,,1005.1,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
"Berlin,Germany",09/16/2018,51.5,71.6,65.0,48.8,58.59,,8.1,,214.22,,0.0,0.0,,6.2,20.2,,Fog,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/24/2017,55.5,62.6,59.3,57.0,92.54,,7.3,,63.3,,0.0,0.0,,3.8,81.4,,"Mist, Light Drizzle, Light Drizzle/Rain, Fog, Light Rain",52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",09/25/2016,51.1,71.5,64.6,46.9,54.8,,10.7,,123.7,,0.0,0.0,,6.2,0.0,,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/27/2015,43.8,62.6,57.2,44.1,64.4,,7.9,,293.5,41.5,0.0,0.0,,6.2,27.7,,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/28/2014,46.0,68.1,61.8,48.8,64.27,,7.9,,196.4,,0.0,0.0,,6.2,29.0,,Fog,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/29/2013,40.7,57.5,51.9,41.8,70.34,,18.9,,78.3,40.1,0.0,0.0,,6.2,31.5,,Fog,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/30/2012,47.0,61.1,56.6,44.1,64.12,,11.6,,256.1,42.5,0.0,0.0,,6.4,20.8,,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/25/2011,50.4,71.6,64.3,50.1,61.34,,6.3,,142.3,,0.0,0.0,,6.3,5.2,,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/26/2010,51.8,53.6,52.4,51.6,97.13,,11.9,,272.0,,0.0,0.0,,2.6,96.3,,"Mist, Light Drizzle, Rain, Light Rain",52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",09/20/2009,54.9,77.4,70.1,52.0,53.66,,5.6,,204.7,,0.0,0.0,,6.2,0.0,,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/28/2008,46.9,64.5,58.7,46.4,65.8,,12.4,,259.4,44.2,0.0,0.0,,6.5,15.0,,"Mist, Fog",52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/30/2007,53.7,60.3,57.6,50.9,78.36,,12.8,,,,0.0,0.0,,6.8,79.1,,"Rain Showers, Light Rain",52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",09/24/2006,57.8,82.4,73.4,51.0,48.17,80.8,14.5,,,,0.0,0.0,,6.2,0.0,,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/25/2005,53.5,73.4,65.8,54.5,68.91,,7.3,,132.6,,0.0,0.0,,6.3,6.2,,Fog,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/26/2004,45.2,55.7,49.5,49.3,98.96,,11.2,,246.67,40.4,0.0,0.0,,6.1,76.7,1017.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",09/28/2003,45.8,60.2,55.2,42.2,62.38,,11.2,,95.56,43.6,0.0,0.0,,6.2,37.8,1015.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/29/2002,49.2,58.7,54.6,49.0,82.92,,6.7,,294.44,47.0,0.0,0.0,,4.7,60.0,1029.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/30/2001,52.1,58.4,55.5,55.2,98.95,,11.2,,154.44,,0.0,0.0,,5.2,74.4,1013.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/10/2000,59.6,67.7,64.0,61.0,90.41,,3.4,,283.75,,0.0,0.0,,5.2,0.0,1023.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/26/1999,55.1,61.1,58.4,56.9,94.5,,3.4,,190.0,,0.0,0.0,,6.2,0.0,1006.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/20/1998,51.5,63.8,59.2,46.5,63.94,,9.2,,93.75,,0.0,0.0,,6.2,0.0,1035.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/28/1997,43.4,55.5,49.1,44.8,86.24,,4.7,,145.0,,0.0,0.0,,5.3,0.0,1018.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/29/1996,47.0,53.3,50.7,46.6,85.95,,18.3,,198.89,42.6,0.0,0.0,,6.2,0.0,1020.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/24/1995,49.7,62.9,58.6,49.7,73.46,,11.4,,194.44,47.4,0.0,0.0,,5.5,0.0,1014.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/25/1994,55.1,63.6,60.2,55.8,85.98,,10.3,,285.56,,0.0,0.0,,3.0,0.0,1017.5,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/26/1993,51.5,55.5,53.8,46.1,75.19,,16.1,,245.56,,0.0,0.0,,5.6,0.0,1006.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/27/1992,52.5,73.4,66.2,52.8,64.48,,10.9,,113.7,,0.0,0.0,,4.6,1.0,1018.2,"Mist, Fog, Sky Coverage Increasing, Smoke Or Haze",52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/29/1991,51.5,64.5,60.3,48.3,64.64,,11.7,,114.1,,0.0,0.0,,7.6,11.4,1002.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/30/1990,53.0,66.3,60.0,55.0,84.14,,8.2,,197.2,,0.0,0.0,,4.7,92.3,1008.4,"Mist, Rain, Light Drizzle/Rain, Light Rain, Smoke Or Haze",52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",10/01/1989,44.9,58.7,53.7,42.8,68.52,,10.2,,289.9,48.1,0.0,0.0,,12.9,62.5,1022.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",10/09/1988,50.3,55.2,52.6,47.5,83.32,,16.5,,199.9,,0.0,0.0,,10.0,87.8,1002.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",10/04/1987,41.4,59.1,54.3,38.8,57.31,,15.7,,108.5,35.9,0.0,0.0,,6.2,1.7,1025.5,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/28/1986,45.2,62.4,56.5,47.0,71.72,,8.1,,174.8,43.6,0.0,0.0,,5.5,44.5,1032.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/29/1985,46.6,59.8,54.4,43.9,68.91,,11.7,,302.4,41.9,0.0,0.0,,11.9,36.1,1026.5,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
"Berlin,Germany",09/30/1984,49.0,61.0,54.5,52.6,93.47,,9.4,,160.0,45.6,0.0,0.0,,1.8,95.8,1011.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Overcast
"Berlin,Germany",09/25/1983,51.4,62.7,58.5,38.0,48.53,,15.8,,316.4,,0.0,0.0,,20.3,23.6,1028.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/26/1982,57.8,78.9,71.3,53.6,55.28,,14.7,,134.3,,0.0,0.0,,6.1,0.7,1009.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
"Berlin,Germany",09/27/1981,61.4,71.3,66.6,56.9,71.44,,12.1,,207.0,,0.0,0.0,,6.2,67.5,1006.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Partially cloudy
