age,male,time_seconds,year
24,1,7777,2017
30,1,7798,2017
25,1,7828,2017
32,1,7928,2017
31,1,7955,2017
40,1,7965,2017
33,1,7996,2017
28,1,8066,2017
27,1,8085,2017
28,1,8128,2017
32,1,8134,2017
32,1,8207,2017
41,1,8220,2017
34,1,8260,2017
34,1,8294,2017
32,1,8300,2017
41,1,8312,2017
32,1,8373,2017
29,1,8412,2017
29,1,8418,2017
37,0,8512,2017
42,1,8540,2017
30,1,8547,2017
27,0,8571,2017
25,0,8580,2017
31,1,8585,2017
36,1,8592,2017
28,1,8606,2017
28,1,8631,2017
39,1,8667,2017
25,1,8680,2017
29,1,8689,2017
37,1,8702,2017
33,0,8706,2017
36,1,8706,2017
45,1,8715,2017
26,1,8735,2017
40,1,8760,2017
27,1,8800,2017
35,1,8809,2017
34,1,8812,2017
32,1,8818,2017
19,1,8831,2017
33,0,8840,2017
43,1,8855,2017
31,1,8860,2017
30,1,8865,2017
24,1,8898,2017
32,1,8899,2017
37,1,8919,2017
25,1,8923,2017
35,1,8924,2017
26,1,8925,2017
24,0,8975,2017
27,1,8982,2017
23,1,8994,2017
48,1,9011,2017
37,1,9019,2017
41,1,9025,2017
28,1,9031,2017
29,1,9034,2017
41,1,9041,2017
29,0,9058,2017
28,1,9064,2017
21,1,9070,2017
27,1,9073,2017
31,1,9079,2017
22,1,9097,2017
41,1,9097,2017
23,0,9108,2017
30,1,9116,2017
33,1,9117,2017
36,1,9121,2017
30,1,9134,2017
32,0,9144,2017
29,1,9144,2017
25,1,9145,2017
23,1,9164,2017
40,1,9166,2017
32,1,9171,2017
31,1,9183,2017
25,1,9183,2017
25,1,9192,2017
20,1,9201,2017
23,0,9206,2017
32,1,9207,2017
36,1,9225,2017
28,1,9235,2017
30,1,9236,2017
30,1,9241,2017
32,1,9249,2017
31,1,9262,2017
30,1,9270,2017
45,1,9280,2017
26,0,9284,2017
26,1,9287,2017
39,1,9289,2017
30,0,9293,2017
25,1,9303,2017
33,1,9315,2017
36,1,9326,2017
26,1,9340,2017
39,1,9341,2017
36,1,9344,2017
24,1,9349,2017
22,1,9351,2017
40,1,9358,2017
26,1,9361,2017
30,1,9367,2017
30,0,9371,2017
28,1,9372,2017
23,1,9378,2017
30,1,9385,2017
27,1,9388,2017
40,0,9388,2017
25,1,9389,2017
25,1,9389,2017
32,0,9390,2017
32,1,9393,2017
39,0,9393,2017
27,1,9396,2017
36,1,9400,2017
25,1,9401,2017
40,1,9407,2017
32,1,9408,2017
36,1,9417,2017
35,1,9417,2017
