age,male,time_seconds,year
28,1,7722,2009
30,1,7772,2009
26,1,7780,2009
27,1,7789,2009
20,1,7806,2009
30,1,7844,2009
22,1,7922,2009
26,1,7965,2009
34,1,7980,2009
32,1,7984,2009
40,1,8092,2009
33,1,8177,2009
36,1,8181,2009
31,1,8191,2009
25,1,8225,2009
28,1,8328,2009
27,1,8362,2009
31,1,8395,2009
28,1,8455,2009
42,1,8520,2009
31,1,8535,2009
28,1,8616,2009
33,1,8631,2009
30,1,8634,2009
41,1,8659,2009
22,1,8663,2009
43,1,8679,2009
24,1,8686,2009
32,1,8733,2009
25,1,8736,2009
24,1,8748,2009
27,1,8771,2009
33,1,8787,2009
33,1,8817,2009
25,1,8830,2009
32,1,8833,2009
30,1,8864,2009
40,1,8870,2009
23,1,8888,2009
30,1,8930,2009
27,1,8936,2009
40,1,8937,2009
37,1,8945,2009
25,1,8946,2009
23,1,8948,2009
33,1,8968,2009
25,1,8968,2009
29,1,8978,2009
27,1,9008,2009
27,1,9009,2009
28,1,9013,2009
31,1,9023,2009
30,1,9026,2009
31,1,9029,2009
35,1,9050,2009
40,1,9056,2009
39,1,9063,2009
31,1,9071,2009
45,1,9087,2009
37,1,9089,2009
28,1,9102,2009
41,1,9105,2009
33,1,9114,2009
29,1,9127,2009
32,1,9130,2009
32,0,9136,2009
23,0,9137,2009
30,0,9145,2009
23,1,9150,2009
25,1,9152,2009
32,1,9155,2009
29,1,9175,2009
27,1,9176,2009
30,1,9182,2009
26,0,9188,2009
30,1,9194,2009
26,1,9199,2009
32,0,9204,2009
38,1,9206,2009
27,1,9207,2009
29,1,9209,2009
21,1,9215,2009
32,1,9216,2009
31,1,9218,2009
24,1,9223,2009
29,1,9232,2009
30,1,9236,2009
28,1,9241,2009
24,1,9252,2009
28,1,9256,2009
27,1,9256,2009
35,0,9260,2009
27,1,9263,2009
30,1,9269,2009
20,1,9269,2009
32,1,9273,2009
31,1,9279,2009
26,1,9285,2009
25,1,9290,2009
24,1,9292,2009
29,1,9297,2009
22,1,9313,2009
38,1,9319,2009
24,1,9321,2009
24,1,9331,2009
21,0,9334,2009
45,0,9337,2009
34,1,9341,2009
26,1,9343,2009
32,1,9345,2009
30,1,9349,2009
28,1,9363,2009
31,1,9366,2009
31,1,9372,2009
43,1,9374,2009
26,1,9379,2009
26,0,9385,2009
25,1,9386,2009
22,1,9394,2009
29,1,9402,2009
23,1,9405,2009
40,1,9406,2009
24,1,9409,2009
40,0,9410,2009
25,1,9412,2009
33,1,9415,2009
25,1,9421,2009
42,1,9424,2009
37,0,9424,2009
22,1,9430,2009
35,1,9432,2009
34,1,9436,2009
44,1,9447,2009
29,1,9452,2009
30,1,9461,2009
28,1,9463,2009
26,1,9465,2009
33,1,9467,2009
40,1,9467,2009
41,1,9476,2009
25,1,9476,2009
43,1,9476,2009
28,1,9479,2009
24,1,9480,2009
31,1,9485,2009
21,1,9488,2009
26,1,9489,2009
44,1,9489,2009
27,1,9492,2009
35,1,9498,2009
31,1,9503,2009
28,1,9504,2009
22,1,9504,2009
26,1,9504,2009
24,1,9507,2009
29,1,9521,2009
29,1,9523,2009
25,1,9526,2009
37,0,9530,2009
29,1,9543,2009
34,1,9544,2009
47,1,9547,2009
29,1,9551,2009
31,1,9554,2009
36,1,9559,2009
34,1,9564,2009
25,1,9565,2009
28,1,9565,2009
37,1,9567,2009
33,1,9567,2009
31,1,9583,2009
37,1,9583,2009
26,1,9584,2009
35,1,9591,2009
42,1,9593,2009
33,1,9593,2009
25,1,9593,2009
25,1,9595,2009
26,1,9604,2009
28,1,9604,2009
33,1,9604,2009
27,1,9610,2009
32,1,9612,2009
35,1,9613,2009
40,1,9632,2009
33,1,9633,2009
35,1,9634,2009
30,1,9636,2009
33,1,9643,2009
35,1,9644,2009
27,1,9647,2009
41,1,9647,2009
24,1,9647,2009
26,1,9648,2009
29,1,9648,2009
38,1,9655,2009
25,1,9655,2009
34,1,9656,2009
38,1,9659,2009
26,1,9661,2009
26,1,9661,2009
22,1,9663,2009
25,1,9666,2009
32,0,9669,2009
26,1,9671,2009
24,1,9675,2009
35,1,9677,2009
24,1,9687,2009
26,1,9697,2009
24,1,9698,2009
42,1,9709,2009
38,1,9712,2009
23,1,9729,2009
30,1,9733,2009
40,1,9735,2009
23,1,9739,2009
39,1,9741,2009
40,1,9744,2009
23,1,9745,2009
24,1,9752,2009
37,1,9754,2009
22,1,9760,2009
33,1,9760,2009
23,1,9762,2009
31,1,9762,2009
26,1,9763,2009
45,1,9765,2009
20,1,9784,2009
22,1,9791,2009
28,0,9791,2009
31,1,9791,2009
26,1,9795,2009
29,1,9797,2009
36,1,9802,2009
26,1,9803,2009
28,1,9803,2009
