time,age,gender,year
02:11:11,25-29,Men,2007
02:11:11,35-39,Men,2007
02:12:45,30-34,Men,2007
02:16:13,25-29,Men,2007
02:16:59,25-29,Men,2007
02:17:17,30-34,Men,2007
02:17:29,35-39,Men,2007
02:21:42,30-34,Men,2007
02:26:34,20-24,Men,2007
02:26:55,25-29,Men,2007
02:27:01,30-34,Men,2007
02:28:52,40-44,Men,2007
02:29:06,30-34,Men,2007
02:29:42,25-29,Men,2007
02:29:46,25-29,Men,2007
02:30:19,25-29,Men,2007
02:31:14,25-29,Men,2007
02:31:33,25-29,Men,2007
02:32:08,30-34,Men,2007
02:32:10,20-24,Men,2007
02:32:15,25-29,Men,2007
02:32:18,20-24,Men,2007
02:32:22,30-34,Men,2007
02:32:25,20-24,Men,2007
02:33:03,30-34,Men,2007
02:33:29,25-29,Men,2007
02:33:49,35-39,Men,2007
02:33:53,40-44,Men,2007
02:34:19,20-24,Men,2007
02:34:38,25-29,Men,2007
02:34:49,20-24,Men,2007
02:35:12,30-34,Men,2007
02:35:17,30-34,Men,2007
02:35:47,30-34,Men,2007
02:36:20,30-34,Men,2007
02:36:47,19 and under,Men,2007
02:37:11,25-29,Men,2007
02:37:13,25-29,Men,2007
02:37:39,25-29,Men,2007
02:37:58,40-44,Men,2007
02:38:03,30-34,Men,2007
02:38:09,20-24,Men,2007
02:38:17,35-39,Men,2007
02:38:22,25-29,Men,2007
02:38:43,25-29,Men,2007
02:38:50,20-24,Men,2007
02:38:54,20-24,Men,2007
02:39:03,30-34,Men,2007
02:39:14,30-34,Men,2007
02:39:20,25-29,Men,2007
02:40:12,20-24,Men,2007
02:40:44,25-29,Men,2007
02:40:50,25-29,Men,2007
02:41:05,25-29,Men,2007
02:41:10,25-29,Men,2007
02:42:10,25-29,Men,2007
02:42:19,30-34,Men,2007
02:42:25,25-29,Men,2007
02:42:27,25-29,Men,2007
02:42:37,25-29,Men,2007
02:42:38,25-29,Men,2007
02:42:41,30-34,Men,2007
02:42:52,20-24,Men,2007
02:43:06,35-39,Men,2007
02:43:29,50-54,Men,2007
02:43:30,45-49,Men,2007
02:43:33,30-34,Men,2007
02:43:49,20-24,Men,2007
02:44:02,25-29,Men,2007
02:44:02,30-34,Men,2007
02:44:03,30-34,Men,2007
02:44:08,25-29,Men,2007
02:44:30,20-24,Men,2007
02:44:57,30-34,Men,2007
02:45:18,25-29,Men,2007
02:45:25,30-34,Men,2007
02:45:32,35-39,Men,2007
02:45:35,25-29,Men,2007
02:45:37,35-39,Men,2007
02:45:50,30-34,Men,2007
02:46:05,20-24,Men,2007
02:46:22,30-34,Men,2007
02:46:37,25-29,Men,2007
