time,age,gender,year
02:23:40,20-24,Women,2010
02:26:20,25-29,Women,2010
02:26:40,35-39,Women,2010
02:28:29,25-29,Women,2010
02:28:44,35-39,Women,2010
02:29:45,25-29,Women,2010
02:30:35,20-24,Women,2010
02:30:53,25-29,Women,2010
02:32:17,35-39,Women,2010
02:32:24,25-29,Women,2010
02:32:51,30-34,Women,2010
02:33:21,25-29,Women,2010
02:34:12,45-49,Women,2010
02:35:02,25-29,Women,2010
02:36:01,30-34,Women,2010
02:37:14,35-39,Women,2010
02:37:16,25-29,Women,2010
02:37:28,30-34,Women,2010
02:37:39,25-29,Women,2010
02:39:08,25-29,Women,2010
02:40:14,25-29,Women,2010
02:41:17,20-24,Women,2010
02:41:28,30-34,Women,2010
02:44:03,30-34,Women,2010
02:44:34,20-24,Women,2010
02:44:47,25-29,Women,2010
02:44:59,25-29,Women,2010
02:45:09,40-44,Women,2010
02:45:29,25-29,Women,2010
02:46:15,25-29,Women,2010
02:46:16,25-29,Women,2010
02:46:17,30-34,Women,2010
02:46:20,25-29,Women,2010
02:46:26,25-29,Women,2010
02:46:31,30-34,Women,2010
02:46:41,25-29,Women,2010
02:46:59,40-44,Women,2010
02:47:03,35-39,Women,2010
02:47:13,30-34,Women,2010
02:47:50,50-54,Women,2010
02:48:54,30-34,Women,2010
02:48:54,35-39,Women,2010
02:49:09,25-29,Women,2010
02:49:17,25-29,Women,2010
02:49:20,20-24,Women,2010
02:49:31,25-29,Women,2010
02:49:46,25-29,Women,2010
02:49:56,30-34,Women,2010
02:50:03,20-24,Women,2010
02:50:07,25-29,Women,2010
02:50:11,25-29,Women,2010
02:50:16,25-29,Women,2010
02:50:23,25-29,Women,2010
02:50:33,20-24,Women,2010
02:51:08,20-24,Women,2010
02:51:13,35-39,Women,2010
02:51:16,25-29,Women,2010
02:51:28,35-39,Women,2010
02:51:33,30-34,Women,2010
02:51:41,30-34,Women,2010
02:51:55,25-29,Women,2010
02:52:12,35-39,Women,2010
02:52:14,25-29,Women,2010
02:52:34,30-34,Women,2010
02:52:42,30-34,Women,2010
02:53:07,25-29,Women,2010
02:53:34,35-39,Women,2010
02:53:35,30-34,Women,2010
02:53:43,25-29,Women,2010
02:53:45,20-24,Women,2010
02:54:09,25-29,Women,2010
02:54:10,35-39,Women,2010
02:54:18,20-24,Women,2010
02:54:40,25-29,Women,2010
02:54:50,25-29,Women,2010
02:55:19,30-34,Women,2010
02:55:37,35-39,Women,2010
02:55:37,30-34,Women,2010
02:55:38,35-39,Women,2010
02:55:43,30-34,Women,2010
02:56:07,40-44,Women,2010
02:56:21,20-24,Women,2010
02:56:22,30-34,Women,2010
02:56:26,30-34,Women,2010
02:56:26,30-34,Women,2010
02:56:52,20-24,Women,2010
02:57:02,30-34,Women,2010
02:57:10,30-34,Women,2010
02:57:34,30-34,Women,2010
02:57:53,45-49,Women,2010
02:57:54,25-29,Women,2010
02:58:46,25-29,Women,2010
02:58:52,35-39,Women,2010
02:59:11,25-29,Women,2010
02:59:32,30-34,Women,2010
02:59:33,30-34,Women,2010
02:59:38,25-29,Women,2010
02:59:47,20-24,Women,2010
02:59:49,30-34,Women,2010
03:00:06,30-34,Women,2010
03:00:08,45-49,Women,2010
