"Last Name, First Name(Sex/Age)",Time,OverAllPlace,Sex Place/Div Place,DIV,AG Time*,BQ*
MARTIN LEL (M25),2:07:26,1,1 / 1,M25-29,,
JAOUAD GHARIB (M30),2:07:49,2,2 / 1,M30-34,,
HENDRICK RAMAALA (M30),2:08:32,3,3 / 2,M30-34,,
ABDELKADER EL MOUAZIZ (M35),2:09:03,4,4 / 1,M35-39,,
STEFANO BALDINI (M30),2:09:25,5,5 / 3,M30-34,,
JON BROWN (M30),2:09:31,6,6 / 4,M30-34,,
TOSHINARI SUWA (M25),2:10:23,7,7 / 2,M25-29,,
PAUL TERGAT (M35),2:11:38,8,8 / 2,M35-39,,
SAMMY KORIR (M30),2:12:36,9,9 / 5,M30-34,,
EVANS RUTTO (M25),2:12:49,10,10 / 3,M25-29,,
FREDRICK CHERONO (M25),2:13:58,11,11 / 4,M25-29,,
ANTONIO PENA (M30),2:14:31,12,12 / 6,M30-34,,
HUW LOBB (M25),2:14:33,13,13 / 5,M25-29,,
KASSA TADESSE (M30),2:15:09,14,14 / 7,M30-34,,
DANIEL NJENGA (M25),2:15:25,15,15 / 6,M25-29,,
MATT SMITH (M30),2:16:23,16,16 / 8,M30-34,,
LUKE KIBET (M20),2:16:40,17,17 / 1,M20-24,,
SCOTT WINTON (M30),2:17:01,18,18 / 9,M30-34,,
PAULA RADCLIFFE (F30),2:17:42,19,1 / 1,F30-34,,
MICHAEL GREEN (M25),2:18:31,20,19 / 7,M25-29,,
DAVE NORMAN (M25),2:18:34,21,20 / 8,M25-29,,
HENRIK SANDSTAD (M30),2:18:36,22,21 / 10,M30-34,,
DAVID W TAYLOR (M40),2:18:47,23,22 / 1,M40-44,,
ANDI JONES (M25),2:18:53,24,23 / 9,M25-29,,
HERMANN ACHMUELLER (M30),2:18:56,25,24 / 11,M30-34,,
MIKE COLEMAN (M25),2:19:42,26,25 / 10,M25-29,,
GARETH RAVEN (M30),2:20:00,27,26 / 12,M30-34,,
ANURADAH COORAY (M25),2:20:16,28,27 / 11,M25-29,,
JOHN MCFARLANE (M30),2:20:54,29,28 / 13,M30-34,,
TOBY LAMBERT (M25),2:21:24,30,29 / 12,M25-29,,
ANDERS SZALKAI (M35),2:21:27,31,30 / 3,M35-39,,
IAN FISHER (M30),2:21:40,32,31 / 14,M30-34,,
NEIL WILKINSON (M35),2:22:12,33,32 / 4,M35-39,,
NIGEL LEIGHTON (M25),2:22:23,34,33 / 13,M25-29,,
CHRIS BIRCHALL (M25),2:22:24,35,34 / 14,M25-29,,
CONSTANTINA DITA (F35),2:22:50,36,2 / 1,F35-39,,
VINCENT PEIGNE (M30),2:23:17,37,35 / 15,M30-34,,
SUSAN CHEPKEMEI (F25),2:24:00,38,3 / 1,F25-29,,
DAVE MITCHINSON (M25),2:24:01,39,36 / 15,M25-29,,
MICHAEL J PROUDLOVE (M35),2:24:02,40,37 / 5,M35-39,,
IAN R HARKNESS (M35),2:24:10,41,38 / 6,M35-39,,
ANDREW P WEIR (M35),2:24:21,42,39 / 7,M35-39,,
NICK A ALTMANN (M30),2:24:38,43,40 / 16,M30-34,,
AC MUIR (M30),2:24:53,44,41 / 17,M30-34,,
STEVE M REES-JONES (M30),2:25:07,45,42 / 18,M30-34,,
MATT SHAW (M25),2:25:12,46,43 / 16,M25-29,,
SAID HAMIDI (M35),2:25:17,47,44 / 8,M35-39,,
MARGARET OKAYO (F25),2:25:22,48,4 / 2,F25-29,,
