age,male,time_seconds,year
29,1,7834,2015
22,1,7848,2015
25,1,7930,2015
33,1,7965,2015
30,1,8004,2015
28,1,8009,2015
40,1,8012,2015
30,1,8116,2015
29,1,8140,2015
32,1,8149,2015
28,1,8232,2015
32,1,8286,2015
27,1,8361,2015
25,1,8430,2015
27,1,8485,2015
32,1,8527,2015
41,1,8593,2015
33,1,8628,2015
33,0,8665,2015
28,1,8670,2015
30,0,8732,2015
28,0,8750,2015
30,0,8753,2015
40,1,8777,2015
32,1,8795,2015
40,0,8817,2015
31,0,8823,2015
37,1,8902,2015
26,0,8903,2015
39,0,8926,2015
30,1,8941,2015
41,1,8945,2015
40,1,8949,2015
33,1,8964,2015
23,1,9018,2015
23,1,9023,2015
29,1,9054,2015
33,1,9064,2015
25,1,9072,2015
28,1,9075,2015
37,1,9116,2015
39,1,9155,2015
36,1,9158,2015
30,1,9183,2015
25,1,9193,2015
33,1,9193,2015
35,0,9193,2015
31,0,9199,2015
29,1,9216,2015
41,1,9227,2015
29,1,9255,2015
31,1,9257,2015
31,1,9267,2015
40,1,9272,2015
52,1,9273,2015
34,1,9284,2015
41,1,9313,2015
36,1,9319,2015
32,1,9340,2015
45,1,9346,2015
29,1,9352,2015
23,1,9382,2015
32,1,9392,2015
35,1,9397,2015
40,1,9399,2015
44,1,9401,2015
31,1,9411,2015
28,1,9414,2015
32,1,9424,2015
28,0,9425,2015
34,1,9445,2015
28,1,9451,2015
54,1,9455,2015
49,1,9468,2015
49,1,9473,2015
39,1,9479,2015
37,1,9487,2015
36,1,9490,2015
44,1,9498,2015
38,1,9519,2015
33,1,9526,2015
30,1,9526,2015
32,1,9529,2015
34,1,9530,2015
30,0,9533,2015
34,1,9534,2015
29,1,9537,2015
34,1,9539,2015
30,1,9540,2015
40,1,9544,2015
44,1,9546,2015
28,1,9547,2015
29,1,9554,2015
26,1,9571,2015
28,1,9573,2015
35,1,9579,2015
32,1,9587,2015
30,1,9593,2015
39,1,9595,2015
43,1,9607,2015
42,1,9609,2015
35,1,9624,2015
30,0,9637,2015
22,1,9644,2015
40,1,9651,2015
38,1,9662,2015
29,1,9664,2015
25,1,9669,2015
33,1,9669,2015
30,1,9684,2015
31,1,9694,2015
37,1,9694,2015
39,1,9695,2015
34,1,9696,2015
36,1,9704,2015
39,1,9704,2015
26,1,9706,2015
45,1,9706,2015
31,0,9710,2015
28,0,9716,2015
31,1,9717,2015
44,1,9719,2015
28,1,9723,2015
36,1,9728,2015
43,1,9730,2015
43,1,9731,2015
31,1,9731,2015
30,1,9731,2015
32,1,9732,2015
31,1,9735,2015
33,1,9742,2015
38,1,9744,2015
27,1,9746,2015
46,1,9748,2015
41,1,9752,2015
30,1,9756,2015
36,1,9761,2015
30,1,9763,2015
34,1,9763,2015
44,1,9764,2015
47,1,9766,2015
25,1,9768,2015
41,1,9770,2015
30,1,9783,2015
31,1,9785,2015
35,1,9786,2015
32,1,9787,2015
25,1,9787,2015
55,1,9790,2015
35,1,9792,2015
31,1,9795,2015
26,1,9800,2015
24,1,9801,2015
28,1,9802,2015
30,0,9808,2015
34,1,9816,2015
34,1,9820,2015
30,1,9823,2015
30,1,9829,2015
46,1,9831,2015
29,1,9831,2015
32,1,9833,2015
28,1,9834,2015
36,1,9836,2015
31,1,9836,2015
31,1,9837,2015
33,1,9840,2015
27,1,9840,2015
32,1,9842,2015
23,0,9842,2015
51,1,9848,2015
33,1,9848,2015
36,1,9850,2015
23,1,9853,2015
32,1,9854,2015
35,1,9858,2015
32,0,9866,2015
26,1,9871,2015
56,1,9882,2015
45,1,9883,2015
31,1,9884,2015
34,1,9886,2015
44,1,9888,2015
35,1,9891,2015
30,1,9896,2015
41,1,9899,2015
45,1,9904,2015
35,1,9904,2015
30,1,9912,2015
39,1,9913,2015
24,1,9926,2015
37,1,9927,2015
37,0,9930,2015
51,1,9934,2015
27,1,9934,2015
37,1,9940,2015
28,1,9942,2015
26,1,9944,2015
28,1,9948,2015
32,1,9950,2015
40,0,9953,2015
41,1,9954,2015
26,1,9956,2015
33,1,9961,2015
33,1,9972,2015
23,1,9972,2015
45,1,9973,2015
38,1,9977,2015
39,1,9980,2015
35,1,9984,2015
26,1,9996,2015
41,1,9997,2015
40,1,9998,2015
36,1,10001,2015
29,1,10006,2015
30,1,10006,2015
28,1,10010,2015
31,1,10011,2015
31,1,10014,2015
45,1,10016,2015
32,1,10017,2015
27,1,10019,2015
55,1,10020,2015
39,1,10023,2015
35,1,10023,2015
35,1,10025,2015
30,1,10029,2015
34,1,10032,2015
42,1,10036,2015
38,1,10038,2015
28,1,10043,2015
33,1,10046,2015
60,1,10047,2015
32,1,10049,2015
29,1,10052,2015
34,1,10062,2015
36,1,10064,2015
31,1,10067,2015
29,1,10070,2015
28,1,10070,2015
30,1,10071,2015
42,1,10084,2015
26,1,10085,2015
34,1,10085,2015
26,1,10086,2015
32,1,10088,2015
44,1,10089,2015
29,1,10089,2015
29,1,10098,2015
30,1,10099,2015
39,1,10099,2015
57,1,10105,2015
30,1,10106,2015
46,1,10114,2015
49,1,10116,2015
40,1,10117,2015
41,1,10122,2015
27,1,10123,2015
38,1,10124,2015
34,1,10125,2015
37,1,10127,2015
37,1,10135,2015
39,1,10136,2015
40,1,10142,2015
27,0,10145,2015
44,1,10146,2015
36,1,10146,2015
30,0,10149,2015
36,1,10156,2015
29,0,10159,2015
36,1,10163,2015
42,1,10164,2015
39,1,10167,2015
22,1,10167,2015
44,1,10167,2015
41,1,10168,2015
38,1,10172,2015
38,1,10174,2015
47,1,10178,2015
37,1,10178,2015
24,1,10180,2015
30,1,10183,2015
33,1,10185,2015
37,1,10185,2015
36,1,10190,2015
29,1,10192,2015
36,1,10193,2015
39,1,10194,2015
33,1,10198,2015
44,1,10199,2015
26,1,10210,2015
35,1,10210,2015
43,1,10210,2015
45,1,10213,2015
32,1,10215,2015
29,1,10221,2015
50,1,10223,2015
29,1,10225,2015
50,1,10226,2015
39,1,10227,2015
42,1,10234,2015
27,1,10235,2015
41,1,10237,2015
39,1,10238,2015
37,1,10238,2015
28,1,10241,2015
31,1,10241,2015
36,1,10243,2015
57,1,10247,2015
26,1,10253,2015
32,1,10254,2015
40,1,10257,2015
26,1,10258,2015
35,1,10259,2015
44,1,10260,2015
36,1,10260,2015
35,1,10264,2015
30,1,10268,2015
39,1,10268,2015
31,1,10269,2015
34,1,10272,2015
28,1,10280,2015
37,1,10281,2015
27,1,10287,2015
