age,male,time_seconds,year
32,1,7859,2014
24,1,7866,2014
30,1,7933,2014
39,1,7998,2014
25,1,8005,2014
33,1,8024,2014
30,1,8076,2014
26,1,8091,2014
28,1,8108,2014
31,1,8139,2014
27,1,8201,2014
32,1,8210,2014
28,1,8304,2014
28,1,8316,2014
41,1,8384,2014
28,1,8387,2014
31,1,8400,2014
24,1,8415,2014
29,1,8554,2014
32,1,8610,2014
26,1,8629,2014
27,1,8650,2014
34,1,8680,2014
35,1,8707,2014
32,0,8707,2014
41,1,8709,2014
29,0,8710,2014
29,1,8745,2014
36,1,8749,2014
31,1,8756,2014
29,0,8760,2014
38,0,8775,2014
33,1,8791,2014
30,1,8812,2014
32,1,8819,2014
26,1,8853,2014
39,1,8855,2014
31,1,8880,2014
34,1,8886,2014
31,0,8891,2014
30,0,8916,2014
24,1,8934,2014
36,1,8959,2014
38,0,8964,2014
27,1,8969,2014
33,1,9004,2014
28,1,9031,2014
32,1,9033,2014
33,1,9034,2014
36,1,9056,2014
40,1,9071,2014
27,0,9100,2014
34,1,9112,2014
31,1,9117,2014
42,1,9133,2014
35,1,9133,2014
37,1,9162,2014
32,1,9181,2014
31,0,9182,2014
34,1,9185,2014
41,0,9198,2014
32,1,9203,2014
39,1,9209,2014
30,1,9209,2014
30,1,9221,2014
43,1,9245,2014
42,1,9272,2014
27,1,9293,2014
30,1,9293,2014
28,1,9303,2014
24,1,9328,2014
31,1,9328,2014
42,1,9330,2014
32,0,9333,2014
38,1,9360,2014
29,1,9360,2014
40,1,9383,2014
37,1,9383,2014
34,0,9384,2014
31,1,9387,2014
26,1,9398,2014
33,1,9407,2014
35,1,9411,2014
28,1,9412,2014
27,1,9415,2014
43,1,9423,2014
36,0,9423,2014
26,1,9440,2014
31,1,9463,2014
34,1,9469,2014
29,1,9476,2014
28,1,9480,2014
35,1,9483,2014
26,1,9483,2014
44,1,9485,2014
32,1,9502,2014
31,1,9509,2014
40,1,9512,2014
26,1,9526,2014
36,1,9530,2014
39,1,9531,2014
34,1,9531,2014
27,1,9531,2014
34,1,9534,2014
24,1,9537,2014
32,1,9548,2014
25,0,9553,2014
38,1,9554,2014
34,1,9561,2014
34,1,9566,2014
23,1,9566,2014
29,1,9567,2014
31,1,9572,2014
22,1,9578,2014
27,1,9579,2014
35,1,9583,2014
25,0,9583,2014
39,1,9588,2014
37,1,9589,2014
26,1,9594,2014
38,1,9595,2014
42,1,9597,2014
33,1,9597,2014
27,0,9600,2014
41,1,9606,2014
22,1,9615,2014
39,1,9626,2014
31,1,9626,2014
29,1,9631,2014
34,1,9644,2014
29,0,9654,2014
38,1,9656,2014
29,1,9664,2014
26,1,9667,2014
30,1,9668,2014
44,1,9680,2014
28,1,9685,2014
48,1,9686,2014
33,1,9690,2014
29,1,9691,2014
31,1,9692,2014
32,1,9701,2014
32,1,9714,2014
41,1,9719,2014
35,1,9723,2014
32,1,9724,2014
33,1,9729,2014
44,1,9732,2014
39,1,9733,2014
33,1,9738,2014
28,1,9742,2014
50,1,9749,2014
35,1,9752,2014
36,1,9753,2014
