groups,times
M29,2:10:09
M29,2:13:12
M30,2:13:21
M27,2:16:10
M27,2:16:17
M25,2:16:52
M29,2:17:26
M35,2:17:48
M29,2:18:16
M38,2:19:43
M33,2:20:30
M35,2:21:09
M35,2:21:40
M22,2:22:46
M27,2:23:19
M26,2:23:42
M31,2:24:13
M26,2:24:30
M24,2:25:18
M24,2:25:18
M35,2:25:26
M27,2:25:47
M23,2:26:48
M28,2:27:35
M26,2:27:39
M29,2:27:47
M22,2:27:50
M23,2:28:05
M30,2:28:20
M22,2:28:40
M26,2:28:47
M29,2:29:18
M30,2:29:29
M32,2:29:39
M26,2:29:49
M24,2:29:51
M23,2:29:59
M25,2:31:43
M40,2:32:24
M20,2:33:00
M27,2:33:19
M34,2:33:21
M28,2:33:57
M29,2:34:01
M27,2:34:14
M38,2:34:26
M27,2:34:37
M35,2:35:03
M26,2:35:27
M26,2:35:42
M20,2:35:49
M30,2:36:23
M43,2:36:28
M30,2:36:34
M35,2:37:13
M25,2:37:26
M38,2:37:35
M27,2:37:37
M41,2:37:44
M24,2:37:58
M28,2:37:59
M27,2:38:20
M31,2:38:30
M23,2:38:40
M26,2:38:43
M22,2:38:48
M23,2:38:51
M41,2:38:52
F41,2:39:11
M34,2:39:26
M43,2:39:28
M24,2:39:36
M23,2:39:53
M37,2:39:59
M19,2:40:04
M29,2:40:20
M18,2:40:28
M38,2:40:31
M18,2:40:32
M38,2:40:40
M37,2:40:52
M36,2:40:55
M30,2:41:11
M18,2:41:14
M28,2:41:17
M35,2:41:19
M36,2:41:31
M22,2:41:36
M49,2:41:37
M25,2:41:47
M31,2:41:49
M30,2:42:05
M28,2:42:10
M30,2:42:20
M38,2:42:39
M34,2:42:45
M23,2:42:50
M34,2:42:55
M21,2:42:59
M22,2:43:02
M31,2:43:15
M30,2:43:29
M32,2:43:29
M30,2:43:34
M22,2:43:35
M20,2:43:47
M18,2:44:00
M22,2:44:06
M24,2:44:12
M37,2:44:28
M35,2:44:33
M29,2:44:48
M25,2:45:04
M29,2:45:08
M45,2:45:11
M22,2:45:21
M21,2:45:29
M18,2:45:51
M31,2:45:55
M38,2:45:58
M34,2:46:00
M27,2:46:02
M31,2:46:08
M25,2:46:13
M40,2:46:16
M31,2:46:52
M29,2:46:55
M31,2:47:09
M27,2:47:14
M20,2:47:18
M25,2:47:18
M42,2:47:27
M35,2:47:36
M29,2:47:37
M33,2:47:39
M33,2:47:46
M24,2:47:47
M34,2:47:55
M30,2:48:00
M28,2:48:01
M17,2:48:05
M19,2:48:06
M35,2:48:11
M39,2:48:11
M20,2:48:25
M47,2:48:30
M32,2:48:34
M32,2:48:35
M23,2:48:40
M28,2:49:13
M33,2:49:14
M29,2:49:26
M26,2:49:28
M42,2:49:29
M26,2:49:36
M53,2:49:46
M17,2:50:00
M20,2:50:05
M26,2:50:11
M41,2:50:14
M22,2:50:21
M19,2:50:37
M22,2:50:45
M33,2:50:46
M35,2:50:53
M29,2:50:56
M24,2:50:57
M29,2:51:02
M18,2:51:03
M31,2:51:05
M21,2:51:19
M27,2:51:19
M35,2:51:21
M22,2:51:22
M35,2:51:23
M36,2:51:31
M31,2:51:32
M37,2:51:33
M33,2:51:38
M32,2:51:48
M20,2:51:49
M28,2:51:53
M37,2:51:54
M30,2:52:00
M31,2:52:14
M46,2:52:15
M38,2:52:18
M34,2:52:30
M19,2:52:33
M22,2:52:36
M33,2:52:42
M21,2:52:51
M45,2:52:53
M22,2:52:55
M21,2:52:55
M34,2:53:00
F35,2:53:03
M25,2:53:05
M24,2:53:12
M26,2:53:21
M32,2:53:35
M31,2:53:37
M23,2:53:38
M31,2:53:44
M34,2:53:47
M48,2:53:48
M25,2:53:52
M24,2:53:54
M34,2:54:00
M29,2:54:03
M19,2:54:17
M42,2:54:27
M35,2:54:30
M26,2:54:33
M28,2:54:40
M25,2:54:43
M41,2:54:44
M41,2:54:45
M35,2:54:48
M27,2:54:49
M27,2:54:54
M26,2:54:55
M26,2:55:00
M47,2:55:01
M26,2:55:03
M32,2:55:04
M22,2:55:08
