time,age,gender,year
00:24:54,40-44,Women,1999
00:25:24,25-29,Women,1999
00:25:39,35-39,Women,1999
00:28:43,35-39,Women,1999
00:30:08,25-29,Women,1999
00:42:31,30-34,Women,1999
02:25:59,25-29,Women,1999
02:26:00,20-24,Women,1999
02:27:17,30-34,Women,1999
02:27:30,35-39,Women,1999
02:27:46,35-39,Women,1999
02:28:34,30-34,Women,1999
02:28:42,35-39,Women,1999
02:31:59,25-29,Women,1999
02:32:24,35-39,Women,1999
02:32:34,30-34,Women,1999
02:35:16,40-44,Women,1999
02:35:29,25-29,Women,1999
02:35:59,25-29,Women,1999
02:36:04,30-34,Women,1999
02:36:04,25-29,Women,1999
02:37:05,30-34,Women,1999
02:37:11,20-24,Women,1999
02:38:09,30-34,Women,1999
02:39:24,25-29,Women,1999
02:41:12,25-29,Women,1999
02:42:24,30-34,Women,1999
02:43:21,25-29,Women,1999
02:44:26,30-34,Women,1999
02:45:25,35-39,Women,1999
02:46:11,30-34,Women,1999
02:46:28,30-34,Women,1999
02:46:29,30-34,Women,1999
02:46:34,35-39,Women,1999
02:47:11,40-44,Women,1999
02:47:23,25-29,Women,1999
02:47:42,30-34,Women,1999
02:47:50,30-34,Women,1999
02:48:22,35-39,Women,1999
02:48:25,30-34,Women,1999
02:48:28,35-39,Women,1999
02:48:39,25-29,Women,1999
02:48:40,25-29,Women,1999
02:48:40,25-29,Women,1999
02:49:05,30-34,Women,1999
02:49:20,25-29,Women,1999
02:49:25,30-34,Women,1999
02:49:43,25-29,Women,1999
02:49:46,30-34,Women,1999
02:50:04,30-34,Women,1999
02:50:07,30-34,Women,1999
02:50:14,25-29,Women,1999
02:50:14,35-39,Women,1999
02:50:21,30-34,Women,1999
02:50:35,20-24,Women,1999
02:50:46,25-29,Women,1999
02:51:05,30-34,Women,1999
02:51:44,35-39,Women,1999
02:52:07,30-34,Women,1999
02:52:21,35-39,Women,1999
02:52:48,25-29,Women,1999
02:53:17,20-24,Women,1999
02:53:43,25-29,Women,1999
02:53:45,30-34,Women,1999
02:54:27,35-39,Women,1999
02:54:39,30-34,Women,1999
02:54:54,30-34,Women,1999
02:55:16,35-39,Women,1999
02:55:21,30-34,Women,1999
02:55:28,30-34,Women,1999
02:55:31,30-34,Women,1999
02:55:35,25-29,Women,1999
02:56:05,35-39,Women,1999
02:56:24,35-39,Women,1999
02:56:51,20-24,Women,1999
02:57:20,25-29,Women,1999
02:57:24,25-29,Women,1999
02:57:54,35-39,Women,1999
02:58:01,25-29,Women,1999
02:58:17,30-34,Women,1999
02:58:22,30-34,Women,1999
02:58:51,30-34,Women,1999
02:58:51,30-34,Women,1999
02:58:55,30-34,Women,1999
02:58:59,30-34,Women,1999
02:59:04,35-39,Women,1999
02:59:15,40-44,Women,1999
02:59:19,30-34,Women,1999
02:59:19,25-29,Women,1999
02:59:22,35-39,Women,1999
02:59:28,35-39,Women,1999
02:59:46,30-34,Women,1999
02:59:51,30-34,Women,1999
03:00:02,25-29,Women,1999
03:00:13,30-34,Women,1999
03:00:19,20-24,Women,1999
03:00:20,25-29,Women,1999
03:00:44,20-24,Women,1999
03:00:45,30-34,Women,1999
03:01:23,25-29,Women,1999
03:01:49,30-34,Women,1999
03:02:00,40-44,Women,1999
03:02:02,35-39,Women,1999
03:02:04,35-39,Women,1999
03:02:07,20-24,Women,1999
03:02:16,40-44,Women,1999
03:02:25,25-29,Women,1999
03:02:32,25-29,Women,1999
03:02:34,25-29,Women,1999
03:02:45,30-34,Women,1999
03:02:53,35-39,Women,1999
03:02:59,30-34,Women,1999
03:03:04,30-34,Women,1999
03:03:15,30-34,Women,1999
03:03:43,25-29,Women,1999
03:04:01,40-44,Women,1999
03:04:05,30-34,Women,1999
03:04:06,30-34,Women,1999
03:04:26,35-39,Women,1999
03:04:37,35-39,Women,1999
03:04:56,25-29,Women,1999
03:05:07,35-39,Women,1999
03:05:23,35-39,Women,1999
03:05:48,30-34,Women,1999
03:05:58,40-44,Women,1999
03:06:04,25-29,Women,1999
03:06:06,30-34,Women,1999
03:06:17,35-39,Women,1999
03:06:21,20-24,Women,1999
03:06:30,25-29,Women,1999
03:06:52,40-44,Women,1999
03:07:22,35-39,Women,1999
03:07:30,30-34,Women,1999
03:07:34,30-34,Women,1999
03:07:39,25-29,Women,1999
03:07:47,19 and under,Women,1999
03:07:57,20-24,Women,1999
03:08:03,25-29,Women,1999
03:08:12,25-29,Women,1999
03:08:28,35-39,Women,1999
03:08:49,25-29,Women,1999
03:08:59,35-39,Women,1999
03:09:03,20-24,Women,1999
03:09:15,20-24,Women,1999
03:09:19,20-24,Women,1999
03:09:37,40-44,Women,1999
03:09:37,45-49,Women,1999
03:09:38,30-34,Women,1999
03:09:45,35-39,Women,1999
03:09:49,25-29,Women,1999
03:10:13,40-44,Women,1999
03:10:15,30-34,Women,1999
03:10:17,25-29,Women,1999
03:10:23,35-39,Women,1999
03:10:25,30-34,Women,1999
03:10:37,20-24,Women,1999
03:10:42,45-49,Women,1999
03:10:52,30-34,Women,1999
03:10:53,25-29,Women,1999
03:11:04,45-49,Women,1999
03:11:05,35-39,Women,1999
03:11:17,25-29,Women,1999
03:11:20,20-24,Women,1999
03:11:22,30-34,Women,1999
03:11:27,25-29,Women,1999
03:11:33,25-29,Women,1999
03:11:39,25-29,Women,1999
03:11:48,40-44,Women,1999
03:11:52,25-29,Women,1999
03:12:16,35-39,Women,1999
03:12:19,35-39,Women,1999
03:12:23,45-49,Women,1999
03:12:27,35-39,Women,1999
03:12:27,40-44,Women,1999
03:12:28,40-44,Women,1999
03:12:45,35-39,Women,1999
03:12:47,30-34,Women,1999
03:13:09,25-29,Women,1999
03:13:11,35-39,Women,1999
03:13:21,30-34,Women,1999
03:13:21,35-39,Women,1999
03:13:27,35-39,Women,1999
03:13:28,25-29,Women,1999
03:13:31,25-29,Women,1999
03:13:32,30-34,Women,1999
03:13:41,30-34,Women,1999
03:13:46,25-29,Women,1999
03:13:50,40-44,Women,1999
03:13:52,40-44,Women,1999
03:13:55,35-39,Women,1999
03:14:00,30-34,Women,1999
03:14:04,40-44,Women,1999
03:14:09,45-49,Women,1999
03:14:15,30-34,Women,1999
03:14:19,35-39,Women,1999
03:14:26,45-49,Women,1999
03:14:34,40-44,Women,1999
03:14:41,35-39,Women,1999
03:14:44,20-24,Women,1999
03:14:51,40-44,Women,1999
03:14:56,25-29,Women,1999
03:15:00,25-29,Women,1999
03:15:00,35-39,Women,1999
03:15:10,40-44,Women,1999
03:15:10,25-29,Women,1999
03:15:13,35-39,Women,1999
03:15:13,40-44,Women,1999
03:15:13,35-39,Women,1999
03:15:22,30-34,Women,1999
03:15:25,25-29,Women,1999
03:15:26,40-44,Women,1999
03:15:26,35-39,Women,1999
03:15:28,25-29,Women,1999
03:15:30,40-44,Women,1999
03:15:37,25-29,Women,1999
03:15:46,35-39,Women,1999
03:15:48,40-44,Women,1999
03:15:55,25-29,Women,1999
03:15:59,30-34,Women,1999
03:16:00,20-24,Women,1999
03:16:02,25-29,Women,1999
03:16:10,35-39,Women,1999
03:16:10,30-34,Women,1999
03:16:13,35-39,Women,1999
03:16:13,25-29,Women,1999
03:16:29,20-24,Women,1999
03:16:31,30-34,Women,1999
03:16:33,25-29,Women,1999
