time,age,gender,year
02:07:02,25-29,Men,2005
02:07:09,25-29,Men,2005
02:07:14,25-29,Men,2005
02:07:28,25-29,Men,2005
02:07:46,25-29,Men,2005
02:09:22,25-29,Men,2005
02:09:49,25-29,Men,2005
02:10:34,25-29,Men,2005
02:10:53,30-34,Men,2005
02:12:30,25-29,Men,2005
02:12:44,30-34,Men,2005
02:13:18,30-34,Men,2005
02:13:27,25-29,Men,2005
02:17:30,25-29,Men,2005
02:19:28,25-29,Men,2005
02:19:43,25-29,Men,2005
02:20:19,20-24,Men,2005
02:20:20,20-24,Men,2005
02:20:41,30-34,Men,2005
02:21:05,25-29,Men,2005
02:21:43,30-34,Men,2005
02:21:50,30-34,Men,2005
02:23:38,25-29,Men,2005
02:24:01,25-29,Men,2005
02:24:03,25-29,Men,2005
02:24:03,35-39,Men,2005
02:24:05,30-34,Men,2005
02:24:15,30-34,Men,2005
02:25:27,30-34,Men,2005
02:25:39,25-29,Men,2005
02:25:42,20-24,Men,2005
02:25:56,25-29,Men,2005
02:26:24,25-29,Men,2005
02:26:45,25-29,Men,2005
02:26:47,25-29,Men,2005
02:26:55,30-34,Men,2005
02:27:11,25-29,Men,2005
02:27:28,20-24,Men,2005
02:27:40,30-34,Men,2005
02:27:41,25-29,Men,2005
02:28:37,35-39,Men,2005
02:28:42,35-39,Men,2005
02:28:51,25-29,Men,2005
02:28:52,20-24,Men,2005
02:29:11,20-24,Men,2005
02:29:31,25-29,Men,2005
02:29:40,25-29,Men,2005
02:29:49,30-34,Men,2005
02:29:51,35-39,Men,2005
02:30:10,25-29,Men,2005
02:30:14,30-34,Men,2005
02:30:42,25-29,Men,2005
02:31:16,30-34,Men,2005
02:31:18,35-39,Men,2005
02:31:23,40-44,Men,2005
02:31:30,25-29,Men,2005
02:31:46,25-29,Men,2005
02:31:56,25-29,Men,2005
02:32:18,25-29,Men,2005
02:32:20,30-34,Men,2005
02:32:20,30-34,Men,2005
02:32:27,25-29,Men,2005
02:32:30,30-34,Men,2005
02:32:57,30-34,Men,2005
02:33:12,30-34,Men,2005
02:33:18,25-29,Men,2005
02:33:19,20-24,Men,2005
02:33:27,30-34,Men,2005
02:33:37,25-29,Men,2005
02:33:58,25-29,Men,2005
02:34:01,25-29,Men,2005
02:34:03,30-34,Men,2005
02:34:03,30-34,Men,2005
02:34:13,45-49,Men,2005
02:34:15,35-39,Men,2005
02:34:24,20-24,Men,2005
02:34:24,45-49,Men,2005
02:34:36,40-44,Men,2005
02:34:48,30-34,Men,2005
02:34:50,20-24,Men,2005
02:34:52,25-29,Men,2005
02:35:13,20-24,Men,2005
02:35:23,30-34,Men,2005
02:35:45,35-39,Men,2005
02:35:47,30-34,Men,2005
02:35:48,30-34,Men,2005
02:35:56,30-34,Men,2005
02:35:57,25-29,Men,2005
02:36:06,25-29,Men,2005
02:36:21,25-29,Men,2005
02:36:21,20-24,Men,2005
02:36:21,30-34,Men,2005
02:36:31,25-29,Men,2005
02:36:37,25-29,Men,2005
02:36:43,30-34,Men,2005
02:36:48,30-34,Men,2005
02:36:58,40-44,Men,2005
02:36:59,25-29,Men,2005
02:37:01,35-39,Men,2005
02:37:02,30-34,Men,2005
02:37:04,35-39,Men,2005
02:37:15,40-44,Men,2005
02:37:23,25-29,Men,2005
02:37:28,25-29,Men,2005
02:37:32,40-44,Men,2005
02:37:32,20-24,Men,2005
02:37:35,40-44,Men,2005
02:37:51,20-24,Men,2005
02:37:55,20-24,Men,2005
02:38:08,45-49,Men,2005
02:38:17,25-29,Men,2005
02:38:23,25-29,Men,2005
02:38:59,30-34,Men,2005
02:39:11,35-39,Men,2005
02:39:16,25-29,Men,2005
02:39:26,30-34,Men,2005
02:39:29,30-34,Men,2005
02:39:30,30-34,Men,2005
02:39:35,30-34,Men,2005
02:39:39,30-34,Men,2005
02:39:39,20-24,Men,2005
02:39:41,20-24,Men,2005
02:39:43,25-29,Men,2005
02:39:45,25-29,Men,2005
02:39:47,25-29,Men,2005
02:39:49,20-24,Men,2005
02:39:51,45-49,Men,2005
02:39:51,25-29,Men,2005
02:39:54,30-34,Men,2005
02:39:55,25-29,Men,2005
02:40:04,45-49,Men,2005
02:40:05,25-29,Men,2005
02:40:13,25-29,Men,2005
02:40:17,25-29,Men,2005
02:40:19,30-34,Men,2005
02:40:31,35-39,Men,2005
02:40:37,20-24,Men,2005
02:40:44,35-39,Men,2005
02:40:48,20-24,Men,2005
02:41:05,45-49,Men,2005
02:41:11,40-44,Men,2005
02:41:13,40-44,Men,2005
02:41:22,20-24,Men,2005
02:41:22,20-24,Men,2005
02:41:23,40-44,Men,2005
02:41:24,25-29,Men,2005
02:41:29,30-34,Men,2005
02:41:34,45-49,Men,2005
02:41:36,25-29,Men,2005
02:41:36,25-29,Men,2005
02:41:42,20-24,Men,2005
02:41:42,35-39,Men,2005
02:41:47,40-44,Men,2005
02:41:51,25-29,Men,2005
02:41:56,25-29,Men,2005
02:41:56,35-39,Men,2005
02:42:01,45-49,Men,2005
02:42:08,25-29,Men,2005
02:42:10,20-24,Men,2005
02:42:17,25-29,Men,2005
02:42:24,35-39,Men,2005
02:42:29,20-24,Men,2005
02:42:31,40-44,Men,2005
02:42:32,35-39,Men,2005
02:42:35,35-39,Men,2005
02:42:37,45-49,Men,2005
02:42:46,30-34,Men,2005
02:42:53,30-34,Men,2005
02:42:55,20-24,Men,2005
02:43:01,35-39,Men,2005
02:43:08,40-44,Men,2005
02:43:23,40-44,Men,2005
02:43:28,35-39,Men,2005
