"Last Name, First Name(Sex/Age)",Time,OverAllPlace,Sex Place/Div Place,DIV,Country,AG Time*,BQ*
GEZAHEGNE ABERA (M24),2:07:56,1,1 / 1,M20-24,ETH,,
STEFANO BALDINI (M31),2:07:56,2,2 / 1,M30-34,ITA,,
JOSEPH NGOLEPUS (M28),2:07:57,3,3 / 1,M25-29,KEN,,
PAUL TERGAT (M33),2:07:59,4,4 / 2,M30-34,KEN,,
SAMSON RAMADHANI (M20),2:08:01,5,5 / 2,M20-24,TAN,,
ABDELKADRE EL MOUAZIZ (M34),2:08:03,6,6 / 3,M30-34,MOR,,
LEE BONG-JU (M32),2:08:10,7,7 / 4,M30-34,KOR,,
HENDRICK RAMAALA (M31),2:08:58,8,8 / 5,M30-34,RSA,,
IAN SYSTER (M27),2:09:18,9,9 / 2,M25-29,RSA,,
JAVIER CORTERS (M31),2:10:39,10,10 / 6,M30-34,ESP,,
JOSEPH KEHUGU (M31),2:13:17,11,11 / 7,M30-34,KEN,,
DAVID MAKORI (M29),2:13:24,12,12 / 3,M25-29,KEN,,
AMBESSE TOLOSSA (M25),2:13:33,13,13 / 4,M25-29,ETH,,
ONESMUS KILONZO (M25),2:13:56,14,14 / 5,M25-29,KEN,,
SAMSON LOYWAPET (M26),2:15:24,15,15 / 6,M25-29,KEN,,
PAULA RADCLIFFE (F29),2:15:25,16,1 / 1,F25-29,GBR,,
SISAY BEZABEH (M25),2:16:09,17,16 / 7,M25-29,AUS,,
CHRIS CARISS (M28),2:17:57,18,17 / 8,M25-29,,,
ANDREW LETHERBY (M29),2:18:25,19,18 / 9,M25-29,AUS,,
HUW LOBB (M26),2:18:30,20,19 / 10,M25-29,,,
OLIVIER GUERY (M29),2:18:56,21,20 / 11,M25-29,FRA,,
MARK YATICH (M26),2:19:52,22,21 / 12,M25-29,KEN,,
IBRAHIM MITEJ (M24),2:19:53,23,22 / 3,M20-24,KEN,,
CATHERINE NDEREBA (F30),2:19:55,24,2 / 1,F30-34,KEN,,
DARRAN BILTON (M37),2:20:50,25,23 / 1,M35-39,,,
DAVID NORMAN (M24),2:21:00,26,24 / 4,M20-24,,,
JOHN KIPRONO (M18),2:21:14,27,25 / 1,M15-19,,,
DEENA DROSSIN (F30),2:21:16,28,3 / 2,F30-34,USA,,
MICHAEL PROUDLOVE (M33),2:23:11,29,26 / 8,M30-34,,,
SUSAN CHEPKEMEI (F27),2:23:12,30,4 / 2,F25-29,KEN,,
PAUL KANDA (M29),2:23:13,31,27 / 13,M25-29,KEN,,
LUDMILA PETROVA (F34),2:23:14,32,5 / 3,F30-34,RUS,,
CONSTANTINA DITA (F33),2:23:43,33,6 / 4,F30-34,ROM,,
JAMES MCGAUGHEY (M29),2:23:49,34,28 / 14,M25-29,,,
WESLEY CHELULE (M28),2:24:00,35,29 / 15,M25-29,KEN,,
JELENA PROKOCUKA (F26),2:24:01,36,7 / 3,F25-29,LAT,,
MARIO FATTORE (M27),2:24:09,37,30 / 16,M25-29,ITA,,
NICHOLAS ALTMANN (M30),2:24:11,38,31 / 9,M30-34,,,
ELFENESH ALEMU (F27),2:24:56,39,8 / 4,F25-29,ETH,,
NICK JANVIER (M32),2:24:59,40,32 / 10,M30-34,,,
ANDREW WEIR (M35),2:25:00,41,33 / 2,M35-39,,,
MICHAELA BOTEZAN (F26),2:25:32,42,9 / 5,F25-29,ROM,,
RAY PLANT (M34),2:26:02,43,34 / 11,M30-34,,,
DERARTU TULU (F31),2:26:33,44,10 / 5,F30-34,ETH,,
MARK HARGREAVES (M42),2:26:42,45,35 / 1,M40-44,,,
BEN REYNOLDS (M39),2:26:47,46,36 / 3,M35-39,,,
ALEXANDER PROKOPCUKS (M35),2:26:52,47,37 / 4,M35-39,,,
PETER GALPIN (M31),2:26:56,48,38 / 12,M30-34,,,
NICHOLAS MARTYN (M39),2:27:11,49,39 / 5,M35-39,,,
RONALD ADAMS (M40),2:27:21,50,40 / 2,M40-44,,,
STEWART MACDONALD (M37),2:28:00,51,41 / 6,M35-39,,,
LARISSA ZOUSKO (F33),2:28:05,52,11 / 6,F30-34,,,
IAN FISHER (M32),2:28:10,53,42 / 13,M30-34,,,
ANTON VAN ZYL (M28),2:28:12,54,43 / 17,M25-29,,,
WAYNE LINCOLN (M36),2:28:29,55,44 / 7,M35-39,,,
GARETH WILLIAMS (M36),2:28:35,56,45 / 8,M35-39,,,
WILLIAM COCKERELL (M29),2:28:43,57,46 / 18,M25-29,,,
GARRY PAYNE (M46),2:29:08,58,47 / 1,M45-49,,,
ANDREW WETHERILL (M45),2:29:18,59,48 / 2,M45-49,,,
STEPHEN LITTLER (M29),2:29:19,60,49 / 19,M25-29,,,
KLAUS ECKSTEIN (M36),2:29:32,61,50 / 9,M35-39,GER,,
DAVID ROBERTSON (M41),2:29:45,62,51 / 3,M40-44,,,
JON ORANGE (M40),2:29:51,63,52 / 4,M40-44,,,
ADRIANA FERNANDEZ (F32),2:29:54,64,12 / 7,F30-34,MEX,,
PETER KELCHTERMANS (M35),2:30:18,65,53 / 10,M35-39,,,
ANDY GORE (M33),2:30:51,66,54 / 14,M30-34,,,
MATTHEW ADCOCK (M35),2:30:54,67,55 / 11,M35-39,,,
WAYNE DASHPER (M28),2:31:13,68,56 / 20,M25-29,,,
DAVID MCGREGOR (M46),2:31:30,69,57 / 3,M45-49,,,
DREW FISHER (M25),2:31:34,70,58 / 21,M25-29,,,
SULLIVAN SMITH (M26),2:31:42,71,59 / 22,M25-29,,,
IAN CRAMPTON (M41),2:31:48,72,60 / 5,M40-44,,,
DENNIS WALMSLEY (M40),2:31:59,73,61 / 6,M40-44,,,
PATRICK CURRAN (M26),2:32:23,74,62 / 23,M25-29,,,
BILL CROWTHER (M35),2:32:29,75,63 / 12,M35-39,,,
ALLAN LEE (M31),2:32:36,76,64 / 15,M30-34,,,
ZINAID SEMENOVA (F41),2:32:37,77,13 / 1,F40-44,RUS,,
DAVID MILLER (M31),2:32:39,78,65 / 16,M30-34,,,
ANDREW HUSSEY (M36),2:32:50,79,66 / 13,M35-39,,,
DAVID WARNER (M40),2:32:57,80,67 / 7,M40-44,,,
BRUNA GENOVESE (F26),2:32:58,81,14 / 6,F25-29,ITA,,
RICHARD TURKINGTON (M28),2:33:03,82,68 / 24,M25-29,,,
PETER DAMON (M36),2:33:12,83,69 / 14,M35-39,,,
DAVID WILLIAMS (M31),2:33:13,84,70 / 17,M30-34,,,
GERRY OLDFIELD (M42),2:33:13,85,71 / 8,M40-44,AUS,,
ROB HOLLADAY (M28),2:33:34,86,72 / 25,M25-29,,,
ROB BERRY (M33),2:33:38,87,73 / 18,M30-34,,,
EOIN O'CONNELL (M32),2:33:44,88,74 / 19,M30-34,IRL,,
ROBERT REITER (M43),2:34:01,89,75 / 9,M40-44,FRA,,
LEONARD REILLY (M41),2:34:03,90,76 / 10,M40-44,,,
RICHARD BROWNE (M35),2:34:08,91,77 / 15,M35-39,,,
ROGER ALSOP (M38),2:34:10,92,78 / 16,M35-39,,,
GARRY JUDD (M28),2:34:18,93,79 / 26,M25-29,,,
FRITZ LANGE (M39),2:34:26,94,80 / 17,M35-39,AUT,,
PETER WRIGHT (M32),2:34:45,95,81 / 20,M30-34,GER,,
MARK COOPER (M40),2:34:50,96,82 / 11,M40-44,,,
RUSSELL MADDAMS (M29),2:34:52,97,84 / 27,M25-29,,,
MATTHEW LYNAS (M36),2:34:52,98,83 / 18,M35-39,,,
PAUL HARWOOD (M31),2:34:56,99,85 / 21,M30-34,,,
SHAUN NORTH (M36),2:35:02,100,86 / 19,M35-39,,,
MARTIN ROSCOE (M38),2:35:19,101,87 / 20,M35-39,,,
COLIN ROBERTS (M33),2:35:26,102,88 / 22,M30-34,,,
ROY PALMER (M39),2:35:34,103,89 / 21,M35-39,,,
TIM ARTUS (M30),2:35:39,104,90 / 23,M30-34,,,
JAMES SNODGRASS (M36),2:35:57,105,91 / 22,M35-39,,,
IAN ANDERSON (M32),2:36:01,106,92 / 24,M30-34,,,
COLIN RIGBY (M34),2:36:02,107,93 / 25,M30-34,,,
ERIC VAMBEN (M28),2:36:12,108,94 / 28,M25-29,,,
NEIL MYTTON (M29),2:36:17,109,95 / 29,M25-29,,,
BRIAN HENNESSEY (M37),2:36:18,110,96 / 23,M35-39,,,
ALASDAIR KEAN (M55),2:36:18,111,97 / 1,M55-59,,,
DENIS NEWMAN (M33),2:36:20,112,98 / 26,M30-34,USA,,
DAVID STONE (M33),2:36:25,113,99 / 27,M30-34,,,
THOMAS BURKE (M26),2:36:35,114,100 / 30,M25-29,,,
ANDREW LYNCH (M26),2:36:40,115,101 / 31,M25-29,,,
SIMON BELL (M36),2:36:45,116,102 / 24,M35-39,,,
NICK WIGMORE (M29),2:36:48,117,103 / 32,M25-29,,,
NICHOLAS KINSEY (M43),2:36:54,118,104 / 12,M40-44,,,
PETER RUSSELL (M50),2:37:01,119,105 / 1,M50-54,,,
RANNOU YVES (M42),2:37:02,120,106 / 13,M40-44,FRA,,
GREG STEVENS (M41),2:37:03,121,107 / 14,M40-44,,,
WILLIAM GRANT (M27),2:37:04,122,108 / 33,M25-29,,,
BRIAN HALL (M40),2:37:07,123,109 / 15,M40-44,,,
ALEX ROWE (M46),2:37:13,124,110 / 4,M45-49,,,
FRANCISCO PASANDIN (M44),2:37:27,125,111 / 16,M40-44,ESP,,
JOHAN SCHILDERMANS (M37),2:37:33,126,112 / 25,M35-39,,,
GREGORY DELL (M38),2:37:41,127,113 / 26,M35-39,,,
JERRY GREEVES (M38),2:37:43,128,114 / 27,M35-39,,,
STEPHEN PEACOCK (M39),2:37:54,129,115 / 28,M35-39,,,
MARTIN GAINSBOROUGH (M36),2:37:56,130,116 / 29,M35-39,,,
RIMMA POUCHKINA (F29),2:38:00,131,15 / 7,F25-29,RUS,,
CHARLIE LEIDEL (M32),2:38:06,132,117 / 28,M30-34,,,
CHRIS FULLER (M44),2:38:12,133,118 / 17,M40-44,RSA,,
PETER HOCKIN (M41),2:38:13,134,119 / 18,M40-44,,,
ANDREW JAMES (M28),2:38:17,135,120 / 34,M25-29,,,
NIGEL PAYNE (M36),2:38:22,136,121 / 30,M35-39,,,
ANDREW BURNS (M44),2:38:29,137,122 / 19,M40-44,AUS,,
NEIL CAYTON (M33),2:38:34,138,123 / 29,M30-34,,,
NICHOLAS SIRS (M46),2:38:42,139,124 / 5,M45-49,,,
PASCAL BIDAUX (M30),2:38:45,140,125 / 30,M30-34,FRA,,
MARTIN SLYSZ (M23),2:38:48,141,126 / 5,M20-24,,,
MATTHEW HARRISON (M26),2:38:53,142,127 / 35,M25-29,,,
ANDREW PRITCHARD (M35),2:38:55,143,128 / 31,M35-39,,,
ANDREW NORRIS (M29),2:39:06,144,129 / 36,M25-29,,,
STEVEN GAME (M40),2:39:11,145,130 / 20,M40-44,,,
MICHAEL EVANS (M27),2:39:12,146,131 / 37,M25-29,,,
STUART MILLS (M40),2:39:13,147,132 / 21,M40-44,,,
ANDREW GREENWAY (M22),2:39:32,148,133 / 6,M20-24,,,
ROBIN HOUGHTON (M32),2:39:37,149,134 / 31,M30-34,,,
RAYMOND GRAHAM (M35),2:39:43,150,135 / 32,M35-39,,,
PHIL COOK (M33),2:40:01,151,136 / 32,M30-34,,,
