groups,times
M29,2:09:04
M31,2:09:16
M35,2:11:25
M36,2:11:58
M31,2:12:25
M33,2:13:01
M32,2:13:40
M30,2:13:47
M33,2:14:01
M30,2:15:32
M23,2:17:26
M31,2:18:10
M24,2:19:34
M23,2:20:15
M35,2:21:15
M27,2:23:01
F33,2:23:09
F32,2:23:32
M40,2:24:20
M24,2:25:05
M20,2:25:56
M40,2:26:05
F31,2:26:13
M24,2:28:04
F33,2:28:37
M44,2:28:42
F35,2:29:08
M36,2:29:23
M29,2:29:27
M29,2:29:49
M46,2:29:55
M40,2:30:23
M37,2:31:33
M36,2:31:33
M36,2:31:35
M37,2:31:43
M34,2:31:53
M35,2:32:10
M28,2:32:13
M36,2:32:46
M48,2:32:49
M39,2:32:52
M28,2:33:12
M25,2:33:25
M31,2:33:36
M36,2:33:43
M30,2:33:54
M29,2:34:12
M26,2:34:13
M38,2:34:31
M35,2:34:52
M40,2:34:53
M30,2:34:53
M26,2:35:10
F36,2:35:15
M33,2:35:30
M25,2:35:44
M41,2:35:56
M22,2:36:04
M28,2:36:10
M32,2:36:21
M42,2:36:26
M35,2:36:30
M31,2:36:32
M25,2:36:33
M50,2:36:36
M38,2:36:46
M32,2:36:49
M36,2:36:52
M33,2:36:54
M29,2:36:59
M30,2:37:05
M30,2:37:09
M37,2:37:14
M26,2:37:17
M37,2:37:20
M35,2:37:27
M31,2:37:32
M27,2:37:36
M44,2:37:37
M34,2:37:37
M42,2:37:42
M30,2:38:04
M37,2:38:16
M33,2:38:18
M45,2:38:23
M43,2:38:33
M33,2:38:37
M35,2:38:44
M26,2:38:45
M42,2:38:49
M33,2:38:53
M38,2:38:55
M24,2:39:00
M33,2:39:03
M29,2:39:12
M23,2:39:16
M32,2:39:18
F34,2:39:19
M36,2:39:26
M47,2:39:29
M23,2:39:29
M43,2:39:43
M39,2:39:43
M27,2:39:49
M49,2:39:52
M26,2:39:54
M35,2:39:56
M26,2:40:03
M27,2:40:08
M43,2:40:08
M30,2:40:19
M26,2:40:28
M38,2:40:39
M24,2:40:39
M31,2:40:41
M31,2:41:09
M34,2:41:14
M40,2:41:14
M24,2:41:15
M28,2:41:23
M32,2:41:31
M37,2:41:40
M35,2:41:46
F34,2:41:48
F31,2:41:57
M32,2:42:09
M31,2:42:14
M36,2:42:16
M28,2:42:18
M47,2:42:23
M29,2:42:23
M28,2:42:28
M27,2:42:29
M38,2:42:35
F27,2:42:36
M31,2:42:37
M30,2:42:37
M30,2:42:45
M36,2:42:45
M36,2:43:01
M43,2:43:05
M35,2:43:05
F37,2:43:11
M25,2:43:15
M27,2:43:15
F28,2:43:16
M50,2:43:16
M44,2:43:17
M38,2:43:18
F24,2:43:20
M22,2:43:22
M27,2:43:27
M35,2:43:27
M39,2:43:31
M29,2:43:31
M26,2:43:32
M43,2:43:33
M33,2:43:37
M32,2:43:38
M36,2:43:41
M36,2:43:42
M41,2:43:44
M41,2:43:46
F30,2:43:47
F42,2:43:50
M41,2:43:52
M31,2:43:53
M41,2:43:55
M36,2:43:57
M36,2:44:01
M27,2:44:01
M50,2:44:03
M32,2:44:03
M29,2:44:06
M35,2:44:07
M41,2:44:07
M25,2:44:07
M28,2:44:23
M42,2:44:25
F26,2:44:27
M41,2:44:28
M39,2:44:37
M39,2:44:41
M48,2:44:47
M25,2:44:54
F24,2:44:55
M36,2:44:57
M41,2:45:00
M36,2:45:01
F27,2:45:05
M22,2:45:10
M25,2:45:17
M36,2:45:20
M44,2:45:21
M37,2:45:23
M44,2:45:26
M32,2:45:28
M29,2:45:29
M46,2:45:30
M34,2:45:42
M33,2:45:44
M32,2:45:44
F34,2:45:46
M30,2:45:46
M38,2:45:48
