"Last Name, First Name(Sex/Age)",Time,OverAllPlace,Sex Place/Div Place,DIV,"State, Country",AG Time*,BQ*
GEOFFREY MUTAI (M30),2:05:05,1,1 / 1,M30-34,KEN,2:05:05,BQ
EMMANUEL MUTAI (M27),2:06:28,2,2 / 1,M25-29,KEN,2:06:28,BQ
TSEGAYE KEBEDE (M24),2:07:13,3,3 / 1,M20-24,ETH,2:07:13,BQ
GEBRE GEBREMARIAM (M27),2:07:59,4,4 / 2,M25-29,ETH,2:07:59,BQ
JAOUAD GHARIB (M39),2:08:26,5,5 / 1,M35-39,MAR,2:06:22,BQ
MEB KEFLEZIGHI (M36),2:09:13,6,6 / 2,M35-39,"CA, USA",2:09:05,BQ
ABDELLAH FALIL (M35),2:10:35,7,7 / 3,M35-39,MAR,2:10:35,BQ
MATHEW KISORIO (M22),2:10:58,8,8 / 2,M20-24,KEN,2:10:54,BQ
EZKYAS SISAY (M23),2:11:04,9,9 / 3,M20-24,"AZ, ETH",2:11:04,BQ
ED MORAN (M30),2:11:46,10,10 / 2,M30-34,"VA, USA",2:11:46,BQ
VIKTOR ROTHLIN (M37),2:12:26,11,11 / 4,M35-39,SUI,2:11:54,BQ
ABDELKABIR SAJI (M35),2:13:47,12,12 / 5,M35-39,MAR,2:13:47,BQ
JUAN LUIS BARRIOS (M28),2:14:10,13,13 / 3,M25-29,MEX,2:14:10,BQ
TEKLU TEFERA DENEKE (M32),2:16:20,14,14 / 3,M30-34,"NY, ETH",2:16:20,BQ
BOBBY CURTIS (M26),2:16:44,15,15 / 4,M25-29,"PA, USA",2:16:44,BQ
TESFAYE ASSEFA DUBE (M27),2:19:24,16,16 / 5,M25-29,"NY, ETH",2:19:24,BQ
ABDELAAZIZ ATMANI (M30),2:19:36,17,17 / 4,M30-34,"IN, USA",2:19:36,BQ
BADO WORKU MERDESSA (M23),2:20:22,18,18 / 4,M20-24,"NY, ETH",2:20:22,BQ
FIKADU LEMMA (M27),2:20:41,19,19 / 6,M25-29,"NY, ETH",2:20:41,BQ
RENS DEKKERS (M29),2:22:48,20,20 / 7,M25-29,NED,2:22:48,BQ
FIREHIWOT DADO (F27),2:23:15,21,1 / 1,F25-29,ETH,2:23:15,BQ
BUZUNESH DEBA (F24),2:23:19,22,2 / 1,F20-24,"NY, ETH",2:23:19,BQ
MARY KEITANY (F29),2:23:38,23,3 / 2,F25-29,KEN,2:23:38,BQ
JOHN BEATTIE (M25),2:23:43,24,21 / 8,M25-29,GBR,2:23:43,BQ
ANTONIO SOUSA (M41),2:24:48,25,22 / 1,M40-44,POR,2:20:09,BQ
DANIEL DALY (M26),2:25:23,26,23 / 9,M25-29,"NY, PER",2:25:23,BQ
