"Last Name, First Name(Sex/Age)",OverAllPlace,Sex Place/Div Place,DIV,Net Time,"City, State, Country",AG Time*,BQ*
Lelisa Desisa (M28),1,1 / 1,M25-29,2:05:59,ETH,2:05:59,BQ
Shura Kitata (M22),2,2 / 1,M20-24,2:06:01,ETH,2:05:57,BQ
Geoffrey Kamworor (M25),3,3 / 2,M25-29,2:06:26,KEN,2:06:26,BQ
Tamirat Tola (M27),4,4 / 3,M25-29,2:08:30,ETH,2:08:30,BQ
Daniel Wanjiru (M26),5,5 / 4,M25-29,2:10:21,KEN,2:10:21,BQ
Jared Ward (M30),6,6 / 1,M30-34,2:12:24,"Mapleton, UT, USA",2:12:24,BQ
Scott Fauble (M26),7,7 / 5,M25-29,2:12:28,"Flagstaff, AZ, USA",2:12:28,BQ
Festus Talam (M24),8,8 / 2,M20-24,2:12:40,KEN,2:12:40,BQ
Shadrack Biwott (M33),9,9 / 2,M30-34,2:12:52,"Folsom, CA, USA",2:12:52,BQ
Chris Derrick (M28),10,10 / 6,M25-29,2:13:08,"Portland, OR, USA",2:13:08,BQ
Juan Luis Barrios (M35),11,11 / 1,M35-39,2:13:55,MEX,2:13:55,BQ
Tadesse Yae Dabi (M29),12,12 / 7,M25-29,2:13:57,ETH,2:13:57,BQ
Tim Ritchie (M31),13,13 / 3,M30-34,2:15:22,"Northampton, MA, USA",2:15:22,BQ
Ryan Vail (M32),14,14 / 4,M30-34,2:15:31,"Portland, OR, USA",2:15:31,BQ
Jonny Mellor (M31),15,15 / 5,M30-34,2:16:09,GBR,2:16:09,BQ
Harbert Okuti (M33),16,16 / 6,M30-34,2:16:51,UGA,2:16:51,BQ
Scott Smith (M32),17,17 / 7,M30-34,2:17:12,"Flagstaff, AZ, USA",2:17:12,BQ
Bernard Lagat (M43),18,18 / 1,M40-44,2:17:20,"Tucson, AZ, USA",2:10:43,BQ
Girma Bekele Gebre (M25),19,19 / 8,M25-29,2:18:18,ETH,2:18:18,BQ
Birhanu Dare Kemal (M32),20,20 / 8,M30-34,2:18:20,ETH,2:18:20,BQ
Mizael Carrera (M27),21,21 / 9,M25-29,2:19:29,PUR,2:19:29,BQ
Suleman Abrar Shifa (M25),22,22 / 10,M25-29,2:19:45,ETH,2:19:45,BQ
Diriba Degefa Yigezu (M30),23,23 / 9,M30-34,2:20:01,ETH,2:20:01,BQ
Temesgen Habtemariam Bekele (M28),24,24 / 11,M25-29,2:20:16,ETH,2:20:16,BQ
Andrew Davies (M39),25,25 / 2,M35-39,2:20:23,GBR,2:18:08,BQ
Mary Keitany (F36),26,1 / 1,F35-39,2:22:48,KEN,2:20:03,BQ
Florent Caelen (M29),27,26 / 12,M25-29,2:22:53,BEL,2:22:53,BQ
Jeremy Bennie (M24),28,27 / 3,M20-24,2:23:16,"New York, NY, USA",2:23:16,BQ
Matt Gillespie (M28),29,28 / 13,M25-29,2:25:05,GBR,2:25:05,BQ
Luis Rivero (M31),30,29 / 10,M30-34,2:25:25,GUA,2:25:25,BQ
Derrick Hamel (M35),31,30 / 3,M35-39,2:25:43,"Newmarket, NH, USA",2:25:43,BQ
Vivian Cheruiyot (F35),32,2 / 2,F35-39,2:26:02,KEN,2:23:58,BQ
Aliaksandr Leuchanka (M27),33,31 / 14,M25-29,2:26:11,"Lee, NH, USA",2:26:11,BQ
Shalane Flanagan (F37),34,3 / 3,F35-39,2:26:22,"Portland, OR, USA",2:22:41,BQ
Alex Monroe (M26),35,32 / 15,M25-29,2:26:28,"Longmont, CO, USA",2:26:28,BQ
Nicholas Hilton (M29),36,33 / 16,M25-29,2:26:31,"Flagstaff, AZ, USA",2:26:31,BQ
Molly Huddle (F34),37,4 / 1,F30-34,2:26:44,"Providence, RI, USA",2:25:17,BQ
Daniel Glaz (M35),38,34 / 4,M35-39,2:26:45,"Chicago, IL, USA",2:26:45,BQ
Rahma Tusa (F25),39,5 / 1,F25-29,2:27:13,ETH,2:27:13,BQ
Nick McCormick (M37),40,35 / 5,M35-39,2:27:35,GBR,2:26:59,BQ
Felix Plinke (M29),41,36 / 17,M25-29,2:27:43,GER,2:27:43,BQ
James Kelly (M35),42,37 / 6,M35-39,2:27:49,"New York, NY, USA",2:27:49,BQ
Desiree Linden (F35),43,6 / 4,F35-39,2:27:51,"Charlevoix, MI, USA",2:25:45,BQ
David Kilgore (M26),44,38 / 18,M25-29,2:28:01,"New York, NY, USA",2:28:01,BQ
Jack St Marie (M26),45,39 / 19,M25-29,2:28:05,"La Jolla, CA, USA",2:28:05,BQ
Matthew Beamer (M31),46,40 / 11,M30-34,2:28:08,"Chicago, IL, USA",2:28:08,BQ
Allie Kieffer (F31),47,7 / 2,F30-34,2:28:12,"West Islip, NY, USA",2:27:57,BQ
Cristian Marianelli (M41),48,41 / 2,M40-44,2:28:35,ITA,2:23:48,BQ
Peter Lighting (M37),49,42 / 7,M35-39,2:28:41,"London, USA",2:28:05,BQ
Sean Fitzpatrick (M28),50,43 / 20,M25-29,2:28:43,GBR,2:28:43,BQ
Raul Fernandez (M43),51,44 / 3,M40-44,2:28:43,ESP,2:21:33,BQ
Lucas Baez (M29),52,45 / 21,M25-29,2:28:53,ARG,2:28:53,BQ
Chris Thompson (M37),53,46 / 8,M35-39,2:28:54,GBR,2:28:18,BQ
Massi Milani (M46),54,47 / 1,M45-49,2:28:55,ITA,2:18:09,BQ
Charles Sandison (M23),55,48 / 4,M20-24,2:29:02,GBR,2:29:02,BQ
Lisa Weightman (F39),56,8 / 5,F35-39,2:29:11,AUS,2:23:20,BQ
Alex Price (M25),57,49 / 22,M25-29,2:29:18,"Skytop, PA, USA",2:29:18,BQ
Abu Kebede Diriba (M31),58,50 / 12,M30-34,2:29:25,ETH,2:29:25,BQ
Daniele Meucci (M33),59,51 / 13,M30-34,2:29:38,ITA,2:29:38,BQ
Lawrence Avery (M38),60,52 / 9,M35-39,2:29:47,GBR,2:28:26,BQ
Andre Borgen (M31),61,53 / 14,M30-34,2:29:49,NOR,2:29:49,BQ
Conor Cashin (M26),62,54 / 23,M25-29,2:29:54,"Brighton, MA, USA",2:29:54,BQ
Yipeng Li (M38),63,55 / 10,M35-39,2:30:07,CHN,2:28:45,BQ
Stuart Haynes (M42),64,56 / 4,M40-44,2:30:18,GBR,2:24:16,BQ
Mamitu Daska (F35),65,9 / 6,F35-39,2:30:31,ETH,2:28:23,BQ
Martin Kjall-Ohlsson (M40),66,57 / 5,M40-44,2:30:33,SWE,2:26:55,BQ
Belaynesh Fikadu (F31),67,10 / 3,F30-34,2:30:47,ETH,2:30:32,BQ
Eric Bowles (M32),68,58 / 15,M30-34,2:30:56,"Santa Monica, CA, USA",2:30:56,BQ
Jerome Joussemet (M46),69,59 / 2,M45-49,2:30:57,FRA,2:20:03,BQ
Stephanie Bruce (F34),70,11 / 4,F30-34,2:30:59,"Flagstaff, AZ, USA",2:29:30,BQ
Roberta Groner (F40),71,12 / 1,F40-44,2:31:01,"Ledgewood, NJ, USA",2:23:51,BQ
Gerda Steyn (F28),72,13 / 2,F25-29,2:31:04,RSA,2:31:04,BQ
Carrie Dimoff (F35),73,14 / 7,F35-39,2:31:12,"Portland, OR, USA",2:29:04,BQ
Chris Hartshorn (M46),74,60 / 3,M45-49,2:31:13,NZL,2:20:17,BQ
Robert Heczko (M40),75,61 / 6,M40-44,2:31:15,CZE,2:27:36,BQ
Tim Rossi (M26),76,62 / 24,M25-29,2:31:19,"Brooklyn, NY, USA",2:31:19,BQ
Jonathan Tipper (M38),77,63 / 11,M35-39,2:31:22,GBR,2:30:00,BQ
Jordan ODonoghue (M25),78,64 / 25,M25-29,2:31:29,GBR,2:31:29,BQ
Steven McElligott (M34),79,65 / 16,M30-34,2:31:40,CAN,2:31:40,BQ
Joe Viavattine (M23),80,66 / 5,M20-24,2:31:51,"Saint Paul, MN, USA",2:31:51,BQ
Sjef Kimpe (M30),81,67 / 17,M30-34,2:32:03,NED,2:32:03,BQ
Grzegorz Gronostaj (M43),82,68 / 7,M40-44,2:32:03,POL,2:24:44,BQ
Samantha Bluske (F27),83,15 / 3,F25-29,2:32:04,"Tuscaloosa, AL, USA",2:32:04,BQ
Jonnathan Varela (M38),84,69 / 12,M35-39,2:32:08,CRC,2:30:45,BQ
Sydney Devore (F27),85,16 / 4,F25-29,2:32:43,"Lake Orion, MI, USA",2:32:43,BQ
Damien Bruneau (M42),86,70 / 8,M40-44,2:32:46,GBR,2:26:38,BQ
Hashem Zikry (M28),87,71 / 26,M25-29,2:32:51,"New York, NY, USA",2:32:51,BQ
Felix Cancre (M24),88,72 / 6,M20-24,2:33:06,"New York, NY, USA",2:33:06,BQ
Connor Martin (M26),89,73 / 27,M25-29,2:33:19,"Boulder, CO, USA",2:33:19,BQ
Andrea Fraquelli (M34),90,74 / 18,M30-34,2:33:30,GBR,2:33:30,BQ
Seth Woodring (M21),91,75 / 7,M20-24,2:33:46,"Fort Collins, CO, USA",2:33:04,BQ
Tim Jeffreys (M30),92,76 / 19,M30-34,2:33:48,"Brooklyn, NY, USA",2:33:48,BQ
Kieran Little (M31),93,77 / 20,M30-34,2:33:53,IRL,2:33:53,BQ
Matt Lindgren (M30),94,78 / 21,M30-34,2:34:26,"Naperville, IL, USA",2:34:26,BQ
