groups,times
M22,2:09:41
M29,2:10:13
M24,2:11:46
M26,2:11:59
M32,2:13:20
M27,2:13:28
M34,2:13:30
M28,2:13:45
M24,2:13:55
M25,2:14:13
M27,2:14:28
M27,2:14:44
M29,2:15:06
M27,2:15:16
M27,2:15:46
M24,2:16:38
M34,2:17:18
M26,2:17:20
M27,2:17:50
M24,2:17:58
M35,2:17:58
M33,2:17:58
M23,2:18:08
M26,2:18:15
M27,2:18:29
M35,2:18:32
M30,2:18:38
M21,2:18:41
M27,2:19:14
M28,2:19:39
M31,2:19:47
M27,2:19:47
M29,2:19:53
M22,2:20:15
M25,2:20:30
M28,2:20:34
M31,2:20:42
M29,2:20:45
M24,2:20:45
M33,2:21:00
M28,2:21:09
M29,2:21:16
M26,2:21:23
M28,2:21:29
M25,2:21:39
M30,2:21:43
M41,2:22:12
M33,2:22:13
M24,2:22:22
M28,2:22:28
M22,2:22:31
M30,2:22:37
M21,2:22:45
M37,2:22:55
M31,2:23:07
M26,2:23:07
M29,2:23:09
M31,2:23:34
M25,2:23:51
M26,2:23:53
M25,2:24:18
M30,2:24:19
M23,2:24:37
M32,2:24:42
M28,2:24:52
M40,2:24:58
M28,2:25:03
M25,2:25:09
M25,2:25:19
M28,2:25:22
M27,2:25:25
M31,2:25:25
M29,2:25:40
F27,2:25:41
M24,2:25:46
M31,2:25:51
M32,2:25:57
M20,2:25:58
M23,2:26:01
M26,2:26:04
M27,2:26:07
M30,2:26:14
M27,2:26:22
M35,2:26:32
M32,2:26:33
M29,2:27:02
M29,2:27:13
M30,2:27:29
M32,2:27:33
M32,2:27:40
M21,2:27:47
M29,2:27:52
M34,2:28:14
M28,2:28:14
M32,2:28:17
M33,2:28:22
M37,2:28:22
M32,2:28:24
M30,2:28:32
M34,2:28:34
M40,2:28:38
M26,2:28:41
M23,2:28:44
M27,2:28:53
M30,2:28:54
M50,2:29:03
M31,2:29:04
M28,2:29:06
M24,2:29:07
M23,2:29:10
M31,2:29:11
M39,2:29:17
M33,2:29:23
M44,2:29:27
M28,2:29:30
F27,2:29:33
M23,2:29:40
M27,2:29:44
M28,2:29:50
M23,2:30:33
M28,2:30:38
M24,2:30:45
M24,2:30:45
M28,2:30:51
M31,2:30:57
M26,2:30:58
M33,2:31:04
M35,2:31:05
M27,2:31:11
M29,2:31:13
M30,2:31:24
M26,2:31:31
M33,2:31:31
M38,2:31:37
M26,2:31:41
M27,2:31:42
M30,2:31:44
M26,2:31:47
M23,2:31:54
M31,2:31:58
M30,2:31:58
M34,2:32:07
M26,2:32:11
M28,2:32:21
M23,2:32:27
M25,2:32:33
M21,2:32:37
M32,2:32:40
M24,2:32:45
M25,2:32:49
M30,2:32:54
M28,2:32:55
M28,2:32:55
M25,2:33:01
M31,2:33:02
M28,2:33:04
M20,2:33:06
M25,2:33:08
M26,2:33:21
M30,2:33:23
M20,2:33:26
M34,2:33:29
M27,2:33:30
M34,2:33:30
M33,2:33:32
M31,2:33:40
M24,2:33:42
M34,2:33:47
M22,2:33:52
M29,2:34:02
M27,2:34:04
M25,2:34:20
M34,2:34:21
F24,2:34:24
M27,2:34:26
M29,2:34:27
M26,2:34:31
M26,2:34:34
M25,2:34:39
M26,2:34:41
M25,2:34:42
M25,2:34:43
M33,2:34:45
M31,2:34:49
M29,2:34:52
M24,2:34:53
M26,2:34:55
M35,2:35:03
F36,2:35:04
M25,2:35:06
M37,2:35:08
M41,2:35:13
M23,2:35:14
M30,2:35:15
M29,2:35:17
M26,2:35:19
M28,2:35:20
M32,2:35:23
M32,2:35:26
M36,2:35:31
M30,2:35:35
M29,2:35:38
M33,2:35:39
M38,2:35:52
M31,2:35:54
M26,2:35:58
M38,2:35:59
M26,2:35:59
M23,2:36:06
M22,2:36:08
M25,2:36:09
M24,2:36:09
M40,2:36:10
M40,2:36:11
M36,2:36:11
M33,2:36:13
M31,2:36:18
M44,2:36:19
M27,2:36:22
M33,2:36:24
M41,2:36:26
M34,2:36:29
M24,2:36:31
M32,2:36:37
M29,2:36:49
M29,2:36:53
M28,2:36:53
M25,2:36:57
M32,2:36:59
M32,2:36:59
M23,2:37:08
M25,2:37:12
M43,2:37:14
M37,2:37:18
M19,2:37:21
M30,2:37:31
M35,2:37:33
M27,2:37:34
M27,2:37:37
M26,2:37:38
M23,2:37:39
M35,2:37:40
M21,2:37:45
M44,2:37:46
M20,2:37:52
M31,2:37:53
F25,2:37:55
M36,2:37:56
M26,2:37:59
M40,2:38:00
M29,2:38:05
M23,2:38:11
M33,2:38:12
M27,2:38:14
M23,2:38:15
M32,2:38:16
M43,2:38:18
M32,2:38:19
M42,2:38:22
M35,2:38:24
M37,2:38:24
M30,2:38:30
M39,2:38:32
M33,2:38:43
M35,2:38:43
M26,2:38:45
M32,2:38:47
M35,2:38:47
M33,2:38:48
M31,2:38:48
M26,2:38:49
M26,2:38:50
M41,2:38:53
M34,2:38:58
M31,2:38:59
M43,2:39:00
M26,2:39:01
M25,2:39:04
F33,2:39:09
M35,2:39:09
M31,2:39:13
M39,2:39:13
M37,2:39:15
M27,2:39:16
M26,2:39:20
M30,2:39:26
M29,2:39:28
M39,2:39:38
M23,2:39:45
M34,2:39:48
M19,2:39:51
M40,2:39:54
M45,2:39:58
M40,2:40:03
M24,2:40:04
M27,2:40:07
M22,2:40:07
M41,2:40:07
M43,2:40:14
M28,2:40:16
M35,2:40:16
M35,2:40:18
M31,2:40:18
M34,2:40:24
M41,2:40:29
M33,2:40:30
M24,2:40:30
M34,2:40:34
F29,2:40:34
M30,2:40:37
M33,2:40:39
M24,2:40:40
M37,2:40:43
M25,2:40:45
M28,2:40:50
M23,2:40:51
M28,2:40:55
M28,2:40:57
M40,2:41:00
F27,2:41:00
M33,2:41:10
M25,2:41:13
M33,2:41:16
M37,2:41:19
M21,2:41:20
M40,2:41:20
M36,2:41:20
M23,2:41:23
M20,2:41:25
M36,2:41:25
M38,2:41:28
M28,2:41:28
F27,2:41:32
M27,2:41:37
M28,2:41:39
M26,2:41:44
M36,2:41:46
M26,2:41:47
M36,2:41:47
M27,2:41:50
M28,2:41:51
M27,2:41:54
M20,2:41:55
M35,2:41:57
M31,2:41:59
M24,2:42:00
M37,2:42:02
M28,2:42:05
M33,2:42:06
M30,2:42:10
M32,2:42:16
M35,2:42:17
M28,2:42:22
M27,2:42:23
M40,2:42:27
M27,2:42:28
M35,2:42:29
M41,2:42:34
M35,2:42:35
M23,2:42:37
M33,2:42:39
M28,2:42:40
M44,2:42:44
M33,2:42:46
M29,2:42:46
M27,2:42:47
M24,2:42:47
M27,2:42:48
M44,2:42:48
M33,2:42:49
M28,2:42:55
M37,2:42:57
M16,2:42:57
M22,2:43:03
M43,2:43:10
M36,2:43:12
M35,2:43:14
M36,2:43:15
M29,2:43:16
M35,2:43:18
M42,2:43:20
M29,2:43:22
M24,2:43:24
M23,2:43:25
M25,2:43:25
M32,2:43:26
M22,2:43:28
M25,2:43:29
M32,2:43:31
M29,2:43:31
F21,2:43:33
M43,2:43:37
M32,2:43:39
M30,2:43:40
M25,2:43:42
M37,2:43:43
M44,2:43:44
F32,2:43:48
M32,2:43:48
M26,2:43:52
M33,2:43:52
M31,2:43:57
M20,2:44:00
M32,2:44:01
M33,2:44:03
M33,2:44:07
M35,2:44:08
M36,2:44:10
M32,2:44:10
M33,2:44:12
M28,2:44:13
F30,2:44:15
M30,2:44:16
M30,2:44:20
M28,2:44:24
M30,2:44:25
M23,2:44:28
M23,2:44:32
M39,2:44:32
M29,2:44:33
M23,2:44:33
M32,2:44:34
M37,2:44:37
M33,2:44:39
M31,2:44:41
M37,2:44:42
M29,2:44:43
M39,2:44:46
F27,2:44:47
M26,2:44:48
M31,2:44:52
M31,2:44:52
M43,2:44:53
M35,2:44:53
M33,2:44:58
M38,2:45:01
M26,2:45:01
M22,2:45:03
M47,2:45:08
M42,2:45:08
M35,2:45:09
M24,2:45:11
M34,2:45:13
M30,2:45:13
M31,2:45:15
M25,2:45:16
M22,2:45:17
M34,2:45:17
M33,2:45:21
M26,2:45:22
M29,2:45:22
